stage,epidermis,eye,mesenchyme,muscle,neural,paraxial_mesoderm,somites,spinal_cord
  7-9,0,0,0,0,5.96,8.14,0,0
 14-21,0,0,0,0,0.82,0,1.07,0
 24-34,0,0,0,1.34,1.63,0,0,0
 48-58,0,0.57,0,0,0.49,0,0,0
 60-70,0,0,0,0,10.5,0,0,1.05
 96-106,0,0,0,0,2.37,0,0,0
108-118,0.48,0,1.14,0,0,0,0,0
120,0,0,13.44,0,14.79,0,0,0
