stage,eye,glial,immune,lateral_line,neural,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0.8,0,0,0
 24-34,0,0,0,0,13.6,0,0,0.67
 36-46,0,0,0,0,15.18,0,0,0
 48-58,4.93,0,0,0,22.79,0,0,6.67
 60-70,6.95,0,0,0,57.57,1.4,0,3.12
 72-82,7.98,0.54,0,0,32.32,0,0.76,0
 84-94,3.14,0,0.75,1.61,21.26,0,0,0
 96-106,17.05,0.98,0,0,17.07,0,0,0
108-118,3.3,0,0,0,29.51,0,1.93,0
120,0,0,0,0,70.14,0,8.85,0
