stage,axial,blastomeres,endoderm,eye,mural_cell,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,46.37,1097.27,0,0,0,0,0,0,47.97,0,0
  5-6,48.05,735.44,0,0,0,0,0,0,36.57,0,0
  7-9,4.13,9.04,0,14.4,0,0,154.15,81.15,0,0,0
 10-12,0,0,6.87,0,0,0,101.51,40.03,0,0,0
 14-21,0,0,0,0,0,1.05,4.23,0,0,0.83,0
 24-34,0,0,0,0,0,0,0,0,0.9,0,0.79
 48-58,0,0,0,0,0.47,0,0,0,1.88,0,0
 72-82,0,0,0,0,0,0,0,0,2.15,0,0
