stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,26.86,388.22,172.85,0,50.76,0,11.19,0,17.76,25.58,0.91,11.81,0,10.67,1.48,0.93,0,11.47,213.27,1.25,0,67.22,1631.77,269.99,4.5,6.09,177.7,0,21.41,238.91,12.65,25.7,608.94,0,0,28.01,0,29.91
 24-34,0,4.21,6.56,76.41,12.06,0,92.5,0,37.43,0.67,22.24,0.77,0,20.65,3.37,15.16,0.63,4.76,0,51.79,160.68,11.32,0,29.91,2208.9,28.89,15.32,0,0,0,54.66,0,10.79,23.31,482.47,0,0,124.2,0,69.91
 36-46,8.46,2.45,0,82.66,1.81,0,293.83,0.89,22.71,1.24,44.41,0.61,0,11.9,3.28,14.26,6.23,4.99,2.33,85.45,224.54,4.69,1.97,29.38,3594.18,3.52,25.92,0.93,0,0,179.84,0,6.76,0,750.26,0,0,155.2,0,77.31
 48-58,0.58,0.67,0,57.17,4.39,0,1472.26,0.73,32.21,5.99,88.87,2.04,0,12.02,8.48,2.15,17.3,3.55,2.45,34.22,255.58,7.22,2.73,35.54,3713.6,13.17,12.24,4.27,0,0.4,134.93,0,1.6,0,670.57,0,0.4,82.01,0,157.9
 60-70,0,2.13,0,65.31,7.82,0,2757.35,6.86,59.41,14.44,148.34,10.17,0,7.96,19.81,0,18.91,2.46,0,32.43,378.89,9.13,21.55,34.06,3903.5,12.03,3.91,4.17,0,3.35,128.11,0,12.3,0,503.35,0.77,6.49,91.79,3.54,83.27
 72-82,0,3.49,0,55.06,10.44,0,1755.21,2.06,39.57,10.71,110.26,13.1,0,32.37,22.06,4.97,32.75,7.21,3.6,17.64,486.97,5.85,23.9,29.96,3140.45,1.75,7.1,8.66,0,4.81,55.76,0,15.36,0,339.91,0.67,6.91,142.26,16.26,73.25
 84-94,0,2.81,0,104.38,15.79,1.54,1186.38,3.66,54.4,9.35,111.11,24.66,0,13.22,45.11,10.79,44.91,2.99,5,89.74,420.33,0.85,21.97,27.32,1988,8.53,5.78,7.47,0,0.91,155.72,0,26.97,0,212.28,2.8,18.57,139.99,39.25,53.8
 96-106,0,2.05,0,104.52,13.56,1.39,848.47,4.95,44.38,6.31,103.21,25.09,0,13.27,25.32,7.9,35,3.24,9.51,29.57,372.84,6.12,9.38,21.36,1684.83,1.23,4.25,7.96,0,2.16,124.54,0,14.49,0,80.79,5.08,10.4,88.26,42.87,67.33
108-118,0,3.75,0,100.7,21.42,12.52,891.27,3.54,69.6,5.21,99.9,19.2,0,4.81,36.87,15.79,85.68,0.74,21.79,62.59,352.99,2.86,16.77,43.07,2046.1,2.26,8.36,15.45,0,3.27,59.32,0,17.08,0,87.19,3.56,20.36,86.79,24.16,80.66
120,0,4.31,0,163.17,3.96,0,780.09,10.98,44.74,8.71,138.68,27.48,0,1.17,49.56,11.49,60.4,0,7.59,15.35,267.21,2.6,25.65,57.18,2623.81,5.14,2,19.23,0,37.81,96.19,0,2.08,0,60.83,0,20.38,121.15,61.38,48.59
