stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  5-6,48.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.83,0,6.01,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,56.11,0,0,0,0,0,0,0
 14-21,0,0,0,2.3,0,1.2,0,0,0,0.9,0,0,0,0,3.99,0,0
 24-34,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,1.82,0,0
 36-46,0,0,0,0,1.04,0,3.71,0,0,23.12,0,0,0,0,2.29,0,0
 48-58,0,0,0,0,0.85,0.39,3.96,0,0,6.79,0.86,0,0,0.43,4.75,0,0
 60-70,0,0.7,0,0,6.39,0.98,0,0,0,15.57,0,0,0,0,3.97,0,0
 72-82,0,0,0,0,5.76,6.62,0,0,0,27.92,0.49,0,0,0,0,0,0
 84-94,0,0,0,0,4.76,1.35,0,1.16,0,8.68,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.64,0,3.78,0,8.09,0,0,2.9,0,0,0,0.74
108-118,0,0,1.47,0,0,6.98,0,0,0.67,2.97,0.63,0,0,0,0,0.48,0
120,0,0,0,0,16.87,0,0,12.58,0,29.3,0,0,0,0,10.36,0,0
