stage,endoderm,epidermis,gut,hatching_gland,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm
  7-9,0,0,0,0,0,0,0,0,4.06,0,0
 10-12,4.52,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.14,0,0,3.09,0,0,0,0.62
 36-46,0,0,0,0,0,0,2.82,2.06,0,0,1.55
 48-58,0,0,0,0,0,0,2.21,2.09,0,0,0
 60-70,0,0,0,0,0,1.11,2.9,0.66,0,0,0
 72-82,0,0,0,0,0,0,6.99,0,0,0,0
 84-94,0,0,0,0,0,0,17.15,5.08,0,0,0
 96-106,0,1.89,0,0,0,0,10.51,3.51,0,1.13,3.89
108-118,0,0.59,1.29,0,0.45,0,11.64,0,0,0,0
120,0,0,3.28,0,0,0,0,0,0,0,0
