stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,5.24,0,0,0,0,0
 10-12,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,3.3,0,0,0,0,0
 14-21,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,2.04,0,0
 24-34,0,0,0,0,0,2.41,0,0,0,0,0,0,0,9.03,0,0,0,0.87,9.99,0,0.85,0,3.7,0,0
 36-46,0,0,0,0,0,0,0,0.96,1.3,0,3.2,0,0,6.38,0,0,0,9.11,13.86,0,2.2,2.58,0.69,0,0
 48-58,0,0,0,0.46,0,3.59,1.22,0,0.48,0,5.3,0,2.78,3.23,1.65,0,0,0,47.54,0,0,4.43,2.08,0.9,0
 60-70,0,0,0,0,0,1.01,1,0,0.62,0,3.21,0,5.28,24.22,6.09,0,0,0,8.64,0,0,0.71,1.15,0,0
 72-82,0,0,0,0,0,20.99,0,0,0.59,0.76,1.91,0,0,51.01,3.53,0,0,0,33.37,0,0,4.65,9.61,0,6.66
 84-94,0,3.09,0,0,0,6.99,0,0,0,0,3.54,0,0,152.08,5.25,0.91,0,0,19.77,0,0.96,4.45,6.26,0,0
 96-106,0,7.26,0,1.88,6.82,13.78,0,0,1.52,15.69,6.75,0.66,0,333.04,2.16,0,0.59,0,147.75,0,0.65,15.23,0,0,0
108-118,0,2.42,0,3.4,4,8.98,1.47,0,6.29,1.36,3.01,0,0,580.99,15.07,0,0,0,122.85,0,14.71,6.75,0,2.73,5.45
120,0,0,0,3.44,0,16.33,0,0,2.94,0,13.26,0,0,416.89,18.46,0,0,0,64.33,0,0,0,0,2.48,12.89
