stage,epidermis,eye,glial,immune,iridophores,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.01,0,14.6,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0
 24-34,1.15,0,0,0,0,0.66,0,0,10.92,1.74,0,0.75,1.24,0,0,0
 36-46,0.63,0,2.63,0,0,0,0,0,2.05,0,0,0,0,0,0,0
 48-58,0,1.85,0,0,0,0,0,0,4.77,0,0,0,0.8,0,0,0
 60-70,0,1.12,0,0,0,0,0,0,1,0,0,0,0,0,0,2.67
 72-82,0,1.34,0.84,0,0.65,0,0,1.79,7.41,0,0,1.86,0,0.52,3.3,0
 84-94,0.66,0.57,0,0,0,0,1.62,0,3.65,0,0,0,7.45,0,0,0
 96-106,0,4.27,0,0.83,0,0,0,0,1.42,0,0,0.94,0,0,0,0
108-118,0,0.51,0,0,0.93,0,0,0,1.82,0.55,0,0,0,0,0,0
