stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,25.53,19.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.73,0,0,0,0,0,0,0,0,11.17,0,0
  7-9,3.58,7.23,0,0,5.07,0,0,0,0,23.42,0,7.74,0
 10-12,0,0,0,0,0,0,0,0,0,3.41,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,6.71,0,0,0
 36-46,0,0,1.02,0,0,0,0,0,0,1.47,0,0,0.81
 48-58,0,0,0,0,0,0,10.63,0,0.54,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.33,0,3.92,0,0,0
 84-94,0,0,0,0,0,0,0,0.64,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.97,0,0,0,0,0,0
108-118,0,0,0,0.46,0,0.54,0,0,0,0.5,0,0,0
120,0,0,0,0,0,0,0,0,0,1.86,0,0,0
