stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.68,67.19,6.72,22.75,0,0,0,9.2,1.46,0,1.52,0,0,0,0,0,0,24.23,0,0,16.02,264.04,17.64,1.1,2.84,10.05,0,5.27,17.81,0,0,35.72,78.7,0,0,3.14,0,0
 24-34,1.89,10.98,0.69,56.68,0,0,0,7.46,0,0,1,0,0.81,0,1.64,0.96,1.9,41.43,0,2.33,14.61,671.56,10.39,10.03,4.63,0,1.14,6.36,0,1.08,0,3.24,93.77,0,0,21.14,0,0
 36-46,0.96,8.68,0,113.31,0,0,0,14.18,0,0,1.64,0,0.62,0.86,0.95,2.42,0,39,0,0.71,3.07,654.02,0.92,4.49,0,0,0,1.25,0,0,0,0,105.37,0,0,8.85,0,0
 48-58,0,14.66,0,250.49,1.51,0,0,48.43,1.15,0,1.16,0,5.67,0,2.61,5.62,0.64,41.38,0.98,1.18,4.51,763.76,1.01,1.98,0,0,0,0.39,0,1.16,0,0,99.92,0,0,13.51,0,7.42
 60-70,0,0.6,0,238.9,2.8,0,1.37,36.86,2.01,0,0,7.9,0,3.02,1.39,15.57,0,30.31,0,2,7.44,470,0,3.57,2.82,0,0,4.81,0,0.76,0,0,62.06,0,0.61,0,0,0.96
 72-82,0,6.38,0.73,204.6,1.78,0,5.45,28.62,0.54,0,0,3.27,3.2,0,0,112.84,0,31.81,0,1.52,7.59,420.76,0,2.14,2.08,0,0,1.97,0,0,0,0,24.49,1.44,0,15.6,0.91,2.71
 84-94,0,8.08,3.13,132.34,0,0,0,20.98,3.08,0.76,0,11.2,0,0,7.3,443.39,0,44.45,2.12,2.67,3.1,271.68,0,0,1.92,0,0,5.61,0,0,2.53,0,21.63,0,0,7.63,1.71,0
 96-106,0,14.47,5.28,129.89,1.43,0,0,22.15,4.74,0,0,5.93,2.76,1.9,0,976.02,0,45.99,1.26,6.21,5.45,428.28,0,2,1.39,0,0,13.05,0,0,0,0,3.48,0,0,8.91,2.02,1.69
108-118,0,11,11.26,121.61,0,3.27,1.62,44.73,1.79,0,0,7.1,0.58,1.11,0,2157.82,2.81,55.51,0,5.89,8.98,406.93,0,2.69,2.44,0,1,10.73,0,0,0,0,4.89,0,0,4.76,5.02,5.85
120,0,19.26,15.52,136.06,0,2.24,4.29,78.9,7.49,0,6.72,19.61,1.45,0,1.74,1131.2,0,69.07,0,10.53,8.55,445.05,0,7.65,0,0,0,0,0,0,0,0,15.17,0,0,4.21,0,15.67
