stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,283.51,5840.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.83,0,0,0,0,0,0,0,0,0,0,0
  5-6,125.12,3104.32,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,104.24,11.17,0,0,35.9,0,61.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,66.43,20.63,48.68,0,0,113.43,0,0,0,0,61.55,0,0,0,0,0,0,0,0,0,0,1426.18,59.85,0,0,430.8,0,0,56.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,82.99,101.09,0,15.54,180.33,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,2139.48,33.98,0,0,620.61,0,3.1,27.02,0,109.47,0,0,3.28,0,0,0,0,0
 14-21,0,0,9.1,55.21,31.18,36.85,0,0,15.63,2.18,1.02,0,0,1.6,0,0,0,1.01,27.06,0,34.46,567.52,39.21,1.78,2.33,12.03,0,25.3,3.73,54.78,0.85,1.37,58.37,129.23,0,0,2.6,0,0
 24-34,0,0,0.76,18.02,7.87,100.28,0,2.33,14.77,0,0,2.49,3.68,0,4.72,1.65,1.54,0,60.63,0,35.46,693.98,8.71,2.21,4.94,1,0,42.87,0,0,0,0,3.61,119.01,0,0,17.94,0,12.7
 36-46,0,0,0,30.3,8.5,146.75,0,0,13.01,0.58,0,9.47,0,0,0,0.57,0,0,81.06,2.07,17.69,473.61,0.82,2.34,0,0,0,30.83,0.81,0.86,0,0,2.35,83.89,0,0,12.7,0,6.67
 48-58,0,0,0,23.27,0,173.35,1.46,2.59,19.83,0,0,0.58,0.84,0.81,0.5,1.73,0.66,0,84.18,3.98,14.21,194.56,1.74,1.96,2.87,0,0,5.68,0,0,0.45,0,0,40.03,0,0,2.2,0,1.54
 60-70,0,0,0,21.53,0,116.1,6.09,0,24.54,4.71,0,0,2.24,0,6.38,0.67,6.19,0,70.15,2.02,13.81,143.49,0,3.67,3.63,0,1.19,3.11,0,0,0,0,0,7.45,0,0,5.02,0,9.01
 72-82,0,0,0,15.32,3.71,28.56,0,1.25,14.09,2.31,0,1.25,0,0,0,0,0,0,54.09,8.37,6.6,70.48,0,8.59,2.87,0,0,0,0,0,0,0,0,0.62,0.76,1.36,6.74,0,1.17
 84-94,0,0,0,12.03,1.67,37.69,1.29,1.01,11.38,0.76,0,1.61,3.45,0,4.01,0.81,0,0,52.83,4.61,7.8,63.69,0.94,5.08,0.65,0,0,2.69,0,0,0.62,0,0,7.7,0.66,0,8.86,0.91,0
 96-106,0,0,0,6.54,2.65,25.92,0,0,19.33,3.51,0,2.33,8.57,0.87,2.09,0,0.73,1.06,28.06,1.06,5.8,63.71,0,4.7,1.85,0,0,5.14,0,0,0,0,0,1.78,0,0,7.65,0,0
108-118,0,0,0,13.89,0.59,21.72,1.39,0.64,18.06,1.59,0,0,0,0.44,2.81,1.19,0,0,24.41,3.81,10.43,96.24,0,1.48,0.43,0,0,10.05,0,0,0,0,0,0,2.83,0,1.49,1.63,0
120,0,0,0,8.11,0,31.3,1.11,0,33.75,1.41,0,6.72,7.82,1.4,0,0,0,0,38.24,6.89,2.25,109.77,0,0,1.76,0,0,2.9,0,0,0,0,0,0,0,0,2.73,2.31,0
