stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.39,0,0,6.61,0,0.82,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,58.24,0,0,0,0,0,0,1.44,0.82,0,1.31,0,0,0,0,0
 24-34,0,0,0,3.9,0,0,51.11,0,0,0,1.03,0,0,0,0,0,0,0,0,2.34,0,0,0,74.23,0,1.3,0,0,0,3.77,0,0,0,9.97,0,0,0.81,0,0
 36-46,0,0,0,4.69,0,0,937.06,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,135.56,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0
 48-58,0,0,0,11.08,0,0,16471.43,0,1.45,0.88,38.06,0,0,0,2.63,1.9,0,0.48,0,34.44,0,0.52,11.94,573.46,7.8,0.91,0,0,0,1.88,0,0,0,81.01,0,0,0,0,4.51
 60-70,0,0,0,15.67,3.52,0,88208.12,1.01,5.97,2.22,132.98,0,0.59,0.78,0,17.16,0,1.56,6.22,68.52,0,8.87,5.91,683.17,0,1.98,0.81,0,0,51.39,0,43.18,0,88.27,27.24,29.21,3.83,2.73,41.15
 72-82,0,9.06,0,335.23,17.71,0,112584.38,10.15,16.06,21.2,526.62,13.22,9.9,6.07,9.22,12.77,2.28,22.6,0,185.1,1.34,19.63,34.02,2084.41,16.45,11.35,28.75,0,13.54,17.51,0,4.46,0.64,88.62,256.37,17.77,21.79,13.64,56.58
 84-94,0,1.23,0,291.25,24.54,0,58164.98,15.31,13.65,31.24,870.58,25.92,35.42,34.79,7.12,41.79,0,16.79,5.52,266.4,7.37,64.07,10.91,1970.72,0,12.01,22.74,0,0,56.43,0,13.12,3.66,95.65,853.05,45.08,30.67,13.38,36.14
 96-106,0,5.19,0,253.58,39.72,0.98,50446.53,5.09,23.34,0,428.46,38.78,8.35,47.38,1.19,16.8,3.57,27.93,1.03,146,0,13.9,7.57,916.86,5.79,49.91,10.28,0,4.33,61.45,0,5.59,1.36,46.38,1306.41,4.06,29.71,4.35,91.65
108-118,0,1.56,0,163.84,17.94,6.38,38121.64,0.65,7.65,6.79,221.55,16.42,1.62,17.14,3.9,0.78,1.85,10.93,0.58,112.22,6.9,26.87,16.23,959.56,4.62,5.36,26.62,0,3.76,22.03,0,1.48,0.69,0,1304.88,3.51,13.2,11.61,9.35
120,0,0,6.35,140.23,4.3,0,19422.95,1.99,3.98,19.49,226.6,36.64,0,5.93,1.77,33.39,0,39.37,0,118.59,2.91,0,20.48,1020.86,6,5.34,3.1,0,2.03,26.45,0,0,0,7.61,453.6,0,16.32,4.27,15.67
