stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.58,236.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0,0
  5-6,102.24,323.03,10.26,0,0,0,0,0,0,0,0,35.83,0,0,0,0,0,0,0,0,0,0,0,51.07,17.23,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,48.6,0,45.39,0,0,14.54,0,0,0,0,0,87.2,0,0,0,0,0,0,0,0,0,0,0,224.38,11.31,0,0,70.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,58.06,0,12.4,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.22,23.33,0,0,138.45,0,0,0,28.59,0,0,0,0,0,0,0
 14-21,0,0,1.98,14.08,0,8.21,0,0,0,7.31,1.08,0,0,0,0,0,0,0,0,16.05,0,0,9.73,85.66,0,0,2.17,0,0,0,17.03,1.83,15.37,51.9,0,0,0,0,0
 24-34,0,0,0.82,9.77,0.76,14.93,0,0,1.31,20.17,0,0,1.45,0,0.64,0,1.08,0,0,53.67,0,0,11.14,148.52,0.97,0,0.64,0,0,1.54,0,1.66,4.78,47.07,0,0,12.27,0,0
 36-46,0,0,0,1.29,0,9.18,0,0,0,19.89,0,0,0.73,0,0,0,0,0,1.46,74.96,0.56,0.8,14.52,155.89,0.58,0,1.46,0,0,0,0,2.25,0,89.6,0,0.62,21.37,0,0
 48-58,0,0,0,10.11,0,4.02,0.71,6.18,1.11,37.85,0,0,2.23,0,0,0,0,0,0,71.61,0,0.94,12.2,45.76,0.51,1.68,0.67,0,0,0,0,0,0,43.4,0,0.4,0.47,0,2.38
 60-70,0,0,0,24.49,0,15.3,0,0,1.45,29.21,0,0,0.71,0,0,0,2.93,0,0,140.06,0,8.2,18.34,38.31,6.3,0,0,0,0.84,5.69,0,0,0,16.52,0,2.5,8.83,1.94,0
 72-82,0,0,0,1.16,0,5.48,0,1.57,7.73,22.99,0,0,5.88,3.94,0.53,0,0,0,0,162.27,0,7.15,7.09,41.58,0,1.39,4.89,0,1.97,0.58,0,0,0,10.14,1.68,6.88,19.15,1.8,0
 84-94,0,0,0,9,0,21.52,0,0,7.41,36.45,0,0,2.65,0,0,1.93,0,0,5.84,160.23,0,18.61,5.9,28.37,5.65,0.66,3.28,0,2.81,1.51,0,3.09,0,3.47,1.01,9.08,13.91,0.6,0
 96-106,0,0,0,5.97,0,11.42,0,0.71,7.01,18.49,0,0,1.93,0,0,1.08,4.36,9.89,0,139.02,0,12.09,3.54,14.17,0,0,1.8,0,1.61,0,0,1.37,0,5.17,0,1.27,22.24,6.97,0
108-118,0,0,0,6.53,5.15,21.7,0,1.29,12.88,30.36,0.49,0,1.38,0,0,5.01,0,0,0,162.73,0,8.97,4.2,24.4,0,0,2.75,0,0.96,0,0,1.03,0,12.01,0,5.55,11.92,5.44,3.21
120,0,0,0,4.93,0,5.66,0,0,11.28,37.08,0,0,0,0,0,0,0,13.18,0,193.59,0,37.27,15.53,48.12,4.6,0,16.11,0,0,0,0,0,0,8.44,0,0,44.28,4.52,0
