stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,14.13,0,0,0,3.51,0,0,0
 36-46,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0.58,97.84,0,0,0,30.78,0,0,0
 48-58,0,0,0,23.78,0,0,0,2.4,0,0.56,0,0,0,0,0,9.33,0,0.77,0,184.24,0,1.04,0,55.43,0,0.88,0
 60-70,0,5.1,0,501.97,0,0,0,0.82,0,0,0,0,0,1.57,0,13.37,0,0,2.98,370.44,0,0.73,0,73.83,0,0,1.25
 72-82,1.55,3.19,0,1149.9,0,0,1.64,14.93,0,0,0,0,0,0,0,19.06,0,0,1.11,474.26,0,0.91,0,72.26,1.5,0,3.45
 84-94,0,7.12,0,859.67,0,0,0,21.74,0,0,0,0,0,0.58,0,4.63,0,4.5,3.28,379.76,0,0,1.08,38.21,0,0.84,1.54
 96-106,0,3.99,1.15,1609.3,0,1.1,9.73,23.26,0,0,0.56,0,1.08,0.84,1.56,21.3,0,3.06,0,262.61,0,0.63,0,24.26,0,0,0.8
108-118,0,10.71,0,1490.62,1.11,0,2.57,18.03,0.65,0,0,0.85,0,0.74,1.01,22.01,4.8,0,2.87,356.39,1.6,4.94,3.94,12.24,0,0,0.49
120,0,9.87,1.34,1008.79,0,0,0,59.46,0,0,7.02,0,0,1.07,0,39.26,0,2.47,2.85,874.76,0,4.64,1.24,29.18,0,0,8.42
