stage,axial,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.01,7.88,7.95,3.08,0,0,3.73,0,0,0,37.95,0,0,0,0,8.88,0,0,3.48,94.91,3.04,0,0,3.5,5.47,7.52,0,6.59,34.12,0,0,0,0
 24-34,0,1.86,6.55,5.93,27.85,5.25,0,2.67,0,1.15,1,50.11,0,0,0,1.79,10.09,0,0,2.21,190.41,0,0.75,0,0,20.06,0,0,0,32.91,0,3.8,0,0
 36-46,0,0,24.38,2.53,61.05,6.92,0.87,4.24,0,0,0,81.91,0,0,0,0,12.57,0,0,0,86.3,0,0.59,1.82,0,25.36,0,0,0,30.28,0,9.91,0,0
 48-58,0,0,28.69,0,81.55,5.37,0.42,4.39,0.37,0,0,40.07,0,0.98,0,0,13.41,0,0.52,0.5,72.74,0,0,1.06,0,9.59,0,0,0,10.37,0,2.05,0,0
 60-70,0.81,0,40.38,0,59.91,8.99,0,11.21,2.48,0,0,50.72,1.17,0,0,0,17.87,0,0,4.27,50.39,2.21,1.29,0,0,9.44,0,0,0,2.44,0,3.58,0,0
 72-82,0,0,25.7,5.31,13.11,11.72,0.49,5.41,0.51,0,0,48.22,3.54,0,0,0,21.62,0,0,1.35,44.19,0,0.95,0,0,8.66,0,0.73,0,0,0,3.7,1.37,1.17
 84-94,0,0,82.93,0,20.67,10.48,0,8.89,7.51,0.86,0,72.69,5.72,0,1.52,0,12.11,1.33,1,2,10.74,0.74,4.81,0.65,0,22.86,0,0,0,1,0,1.18,0,0
 96-106,0,0,79.88,1.13,7.17,7.29,0,3.4,2.03,1.06,0,68.84,11.58,0,1.42,0,0,0.74,0,0.81,28.54,0,5.13,0,0,8.44,0,0,0,0,0.71,12.52,0,0
108-118,0,0,99.26,0.42,8.41,25.94,0,5.21,6.26,0,0,54.44,7.58,0,1.16,0,2.72,1.38,0,0,23.08,0,0,0,0,7.7,0,0.41,0,1.91,0,0.67,0,0
120,0,0,74.45,0,11.85,18.48,0,10.19,4.31,0,0,68.6,6.04,2.92,0,0,5.61,0,0,5.16,51.32,0,0,0,0,8.35,0,0,0,0,0,6.43,8.46,0
