stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,7,0,0,14.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,33.04,0,0,0,0,0,0,0,0,0,0,0,30.54,13.48,0,0,13.46,0,0,9.43,0,0,0,0,0,0,0,0
 14-21,0,1.32,1.83,2.35,1.94,0,1.11,0,0,0,1.72,2.91,1.29,0,0,0,0,0,0,0,3.01,0,0,8.88,196.02,6.51,3.96,1.92,0,0,2.85,17.29,79.81,13.51,119.26,0,0,8.63,0,0
 24-34,0,1.35,1.44,3.78,0,0,16.99,16.44,0,0,13.64,3.62,0,0,0,0.94,0,0.66,0,0,27.42,0,0,28.3,1146.53,1.74,14.76,0,0,0,0,11.55,54.63,21.38,312.81,0,0,22.21,0,0
 36-46,0,0,0,0.64,0,0,137.87,36.67,0,0,12.91,2.94,0,0.65,0,0,0,3.21,0,4.51,61.12,0,0.98,43.92,2666.7,0,17.21,0,0,0,13.41,34.08,24.84,5.33,558.61,0,0,27.69,0,11.56
 48-58,0,0,0,13.68,3.17,0,316.05,50.77,7.59,2.03,49.76,0.38,0,0,0,0,0,0.91,0,21.93,62.4,0,0,48.51,2535.87,0,12.19,2.5,0,0,7.31,12.93,30.02,0,514.72,0,0,11.53,0,6.57
 60-70,0,0,0,4.32,0,0,376.52,24.85,4.19,0.83,33.34,4.61,0,0,0,0,0,0,1.82,15.74,72.98,0,12.19,28.73,2375.54,0,19.45,4.43,0,0,2.48,6,15.49,0,373.01,0,0,24.93,0,9.09
 72-82,0,4.25,0,4.98,0,0,325.6,10.9,2.13,2.58,46.84,3.66,0,1.76,0,0,0,1.89,0,4.08,73.45,0,8.99,26.15,1438.59,0.55,17.39,0.58,1.13,0,0,3.88,9.33,0,213.15,0,0.5,25.22,3.01,0
 84-94,0,1.15,0,5.47,2.13,0,295.98,26.28,0.68,0,58.31,3.88,0,0,2.31,0,2.28,2.37,4.41,42,97.29,0,0.76,37.31,916.11,0,7.15,1.46,0,0.6,1.51,9.18,5.77,0,110.14,0,1.17,28.47,0,3.35
 96-106,0,0,0,10.5,4.83,0,225.33,23.28,6.11,2.27,49.17,1.7,0,0,5.8,0,3.06,0,0.93,5.65,50.5,0,7.75,12.85,769.33,0,13.94,3.86,13.07,0,2.43,1.33,16.72,0,60.41,1.88,0.94,46.94,2.19,8.05
108-118,0,5.08,0,12.02,9.97,5.67,239.84,32.33,0.43,3,28.68,10.52,0,0,3.57,0,12.24,1.09,7.23,6.26,83.67,0,2.56,14.44,902.5,1.52,23.17,6.08,0,0,2.3,1.57,8.41,0,70.95,0.89,0.47,31.04,1,1.18
120,0,2.94,0,6.33,0,3.69,217.69,15.61,0,0,79.03,0,0,0,7.41,0,14.91,0,3.41,4.02,137.16,1.49,11.29,28.23,1323.06,0,3.02,1.34,0,0,0,0,11.63,0,58.71,1.84,0,70.77,0,0
