stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,23.7,0,0,0,0,0,0,0,0,0,17.31,0,0,0,0,0,0,0,0,0,86.98,0,0,0,19.39,5.07,0,5.64,0,0,0,0,0,0
 14-21,0,0,0,18.66,0,0,0,0,1.76,0,0,1.28,5.44,0,6.76,0,0,0,0,0,0,0,12.7,6.14,0,0,0,4.63,1.12,0,0,2.1,8.59,0,0,0
 24-34,0,0,0,7.77,0,0,2.18,0,2.96,0,0,0,0,0,32.1,0,0,0,0.75,2.73,0,0,52.3,0,4.62,0,0,5.06,0,0.98,0,0,26.48,0,0,0.91
 36-46,0,1.72,0,0,0,0,1.86,0,0,0.65,0,0,0,9.61,5.38,0.61,0,0,1.72,2.4,1.73,0,76.98,0.63,18.03,0,0,24.27,0,0,0,0,23.93,0,0,2.94
 48-58,0,0,0,5.57,0,0,20.8,0,0.82,0.62,3.68,0,0,0.71,4.93,2.34,1.54,0,0.66,3.25,0,0,137.53,0,8.83,0,0,5.7,0,0,0,0,30.62,0,1.04,0
 60-70,0,0,0,4.73,0,0,122.75,0,1.24,2.53,3.65,0,0,0.59,1.17,3.27,2.83,0,0.88,1.01,0,0,123.65,0,17.51,0,0,9.88,0,0,0,0,42.4,0.84,1.09,0
 72-82,0,0,0,4.09,0.57,0,124.89,0,0.81,0,5.7,1.33,0,2.21,3.5,0,1.26,0,3.38,0.96,0,0,131.12,0,17.62,2.47,0,10.17,0,0,0,0,38.11,3.16,0,0
 84-94,0,0,0,22.44,0,0,132.78,0,0,0.83,11.06,3.18,0,2.31,5.23,6.55,4.08,0,0,4.99,0,3.72,90.48,0,19.12,2.64,0,29.2,0,1.42,0.61,0,32.38,3.92,0,0
 96-106,0,0,0,15.74,0,0,72.37,0,0,0,6.17,9.87,0,1.6,8.66,1.49,3.84,0,9.03,8.07,0,0,113.05,0,18.44,3.95,0,11.58,0,0,0,0,17.88,1.94,0.7,9.94
108-118,0,0.97,0,12.14,1.41,0.45,77.53,0.42,0.46,0,14.24,5.71,0,2.94,5.89,5.27,7.8,0.51,11.22,3.87,0,0,161.09,0,2.53,3.27,0,9.52,0,1.15,0.56,0,6.8,2.85,4.5,0
120,0,0,0,22.52,5.85,0,51.8,0,0,8.4,10.56,1.53,0,5.64,1.17,0,0,0,1.31,3.49,0,0,87.32,1.24,31.64,1.05,0,23.53,0,0,0,0,18.03,8.98,0,0
