stage,eye,glial,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord
 24-34,0,0,0,0,1.38,0,0,0
 48-58,0,0,0,0,9.03,0,0,0
 60-70,0,2.35,0,0,0,0,0,1.5
 72-82,6.37,92.34,0,0,2.2,1.38,0,0
 84-94,0.95,42.34,0,0,8.21,0,0,0
 96-106,0.75,164.77,0,0.81,7.46,0,0.84,0
108-118,1.72,187.15,2.82,0,9.84,0,0,0
120,0,146.13,0,0,0,0,0,0
