stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord,taste,vasculature
  3-4,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.54,0,0,0
 14-21,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,13.31,0,0,0,13.56,0,0
 24-34,0,0,0,0,0,2.17,0.62,0,1.11,0,0,0,0,0,98.86,0.83,0,0,31.74,0,0.79
 36-46,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,161.67,0,0,0,34.29,0,0
 48-58,0,0.87,0,0,0,1.39,0,0,0,0,0,0,0,0,72.94,1.59,0.38,0,11.18,0,0
 60-70,0,0,0,1.02,0,15.69,0,0,0,0,0,0,0,0,115.58,2.5,0.62,0,18.66,0,0
 72-82,0,0.76,0,1.55,0,12.09,0,0,1.2,0.97,0,0,0,0,49.08,0,0.68,0,5.76,0,0
 84-94,0,0,0,1.96,1.52,15.79,0,0,0.95,0,0,0,0,0,41.71,0,2.14,0,8.35,0,0
 96-106,0,0,0,1.22,0,2.69,0,1.07,1.21,0,0,0.67,0,0,29.24,0,0,0,0,0,0
108-118,0,1.03,0,0,0,15.74,0,0,0.52,0,0,1.1,1.79,0.65,28.84,0,1.16,0,0,0.42,0
120,0,0,0,0,0,8.83,0,0,0,0,1.96,0,1.55,0,40.24,0,0,0,0,0,0
