stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.92,177.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.7,260.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0
  7-9,3.75,14.53,0,6.85,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.8,8.74,0,0,22.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.34,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.37,0,0,0,46.17,0,0,0,17.65,0,0,0,0,0,0,0
 14-21,0,0,0,2.79,43.15,12.21,0,24.49,0,0.88,0,6.2,7.25,0.81,0,0,0,0,0,0,0,24.87,0,0,8.21,332.8,2.26,2.08,2.75,7,0,3.55,37.75,2.8,1.36,32.43,88.07,0,2.3,0,0
 24-34,0,1.67,0.6,0,8.53,0,0,20.34,0,0,0,12.77,0,0,0,0,1.21,0,1.98,2.29,0,35.64,0,0,11.9,341.17,0,2.47,5.74,0,0,11.19,0,0,0,2.6,64.93,0,1.13,0,1.44
 36-46,0,0,0,0,11.28,0,0,43.11,0,0,0,24.07,0,0,1.06,1.03,0,0,0.65,0,6.32,40.09,0,0.57,8.09,389.65,0,0.61,1.49,0,0,8.86,0,2.15,0,0,74.54,0,3.81,0,12.17
 48-58,0,0,0,0,6.87,2.36,0,107.92,0,0,1.59,40.79,0,0,0,0,6.73,0,3.7,2.84,0.59,46.74,0,0,8.58,251.52,3.12,0,1.67,0,0,11.57,0,11.81,0,0,50.02,0,7.15,0,9.64
 60-70,0,0,0,0,9.53,0,0,112.06,0,5.84,0.62,21.64,3.55,0,0,0,0.61,0,0,0,0,55.42,0,0,6.44,288.7,1.41,0,0,0,1.79,5.85,0,0,0,0,49,0,9.99,0,0
 72-82,0,0,0,0,1.53,0.98,0,98.94,0,0.68,1.74,42.72,0.84,0,3.18,1.72,0,0,0,0,1.81,63.13,1.56,4.01,6.64,206.57,0.5,1.28,2.44,0,2.01,7.76,0,4.19,0,0,20.64,1.53,11.42,3.11,0
 84-94,0,0,0.56,0,13.23,3.24,0.8,42.05,0,1.21,1.72,20.05,2.73,0,0,0,1.1,1.53,2.46,0,2.42,37.81,0,2.55,4.28,125.68,1.83,9.91,3.46,0,0,31.25,0,0,0,0,8.41,0,14,0,0
 96-106,0,0,0,0,3.33,0.84,1.14,29.67,0,0,1.65,17.9,3.55,0,0,0,1.24,3.46,0,0.99,0,41.85,1.07,0,2.56,106.45,0,2.43,6.43,0,0,6.49,0,0,0,0,14.18,0,4.62,0,0
108-118,0,0,0.54,0,19.55,0,1.27,46.23,0,1.51,0.83,35.97,0.51,0,0,0.56,1.15,0,2.07,0,2.16,41.93,0,0.5,7.54,153.94,2.53,2.96,3.44,0,0.91,6.23,0,0.54,0,0,6.77,2.65,4.99,0.57,0
120,0,0,0,4.41,8.65,0,0,51.74,1.14,0,0,32.43,0,0,0,0,0,0,0,6.16,0,43.37,0,0,0,150.87,1.33,2.88,1.47,0,0,6.28,0,0,1.22,0,0,0,1.65,3.21,0
