stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.09,0,0,0,0,0,0
  5-6,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.69,8.71,0,0,6.36,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.74,0,0,0,0,0,0,0,5.32,0,0,0,0
 14-21,0,0,1.69,0.9,0.92,0,1.13,0,0,0,1.15,0,0,0,0,0,0,0,0,1.52,0,0,0,68.42,26.44,6.84,0,0,0,0,0,59.52,0,0,0,0
 24-34,0,0,2.19,0,1.65,0,9.61,0,0,0.61,4.54,0,0,0,0,0,0,0,0,2.46,0,0,1.33,645.1,67,33.57,25.73,0,0,1.32,0,236.59,0,0,0,0
 36-46,0,0,1.71,0,0,0,131.65,0,0,0,14.78,0,0,0,10.06,0.74,0,2.68,0,3.82,0,0,1.98,1570.05,82.23,40.67,16.06,0,0,11.35,1.06,336.67,0,1.33,0,0
 48-58,0,0,1.34,0,6.74,0,521.65,1.71,2.33,1.48,84.75,2.43,0.6,0,0,0,1.6,0,0,17.17,0,0,5.74,1993.85,74.66,12.39,29.44,0,0,2.15,0.73,355.46,0,1.19,0,10.97
 60-70,0,0,0.89,0,4.61,1.61,1203.57,0,0,0,72.21,0,0,0,0,0.85,7.43,0,0,32.98,1.1,0,1.31,2009.13,45.03,13.65,38.96,0,0,4.8,0,241.63,0,0,0.59,7.98
 72-82,0,0,4.2,0,4.57,1.89,1105.48,0,0,8.34,47.4,0.85,0,0,0,0,30.96,9.68,0.49,31.96,0,1.43,0.9,1671.88,24.19,35.74,63.78,0,1.12,11.96,0,112.54,2.21,5.79,1.87,22.54
 84-94,0,0,4.35,0,8.45,4.04,666.6,1.34,0,3.22,83.78,3.92,0,1.79,0,10.23,7.55,0,0,30.03,0,0.63,2.22,1177.06,33.32,18.35,64.6,0,0,3.59,0,128.77,1.77,1.54,0,3.74
 96-106,1.12,0,5.12,0,11.75,5.05,632.59,1,0,3.11,54.95,3.75,0,0,2.73,0,31.42,16.11,0,21.5,0,0,0,933.69,6.7,31.61,93.97,0,2.4,18.95,0,84.3,0.61,0,1.97,0.86
108-118,0,0,9.72,0,13.39,6.98,535.22,0,0,8.37,50.88,2.39,0,0,0,2.67,16.88,0,0,15.11,2.89,5.75,1.27,1141.91,26.13,27.04,65.01,0,1.23,5.24,0.62,48.99,5.14,0.86,2.06,0.59
120,0,0,2.94,0,23.08,1.98,655.84,1.18,0,3.46,74.02,0,0,5.3,0,6.33,26.2,0,0,16.65,3.25,0,5.88,1825.37,54.17,25.48,134.56,0,0,0,0,93.29,0,0,6.61,0
