stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,11.82,0,0,20.02,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,12,0,0,0,0,0,0.81,0.99,0,0,0,0,0
 24-34,0,0.84,16.54,0,0,0,11.18,0,4.11,0,0,0,0,0,0,1.55,0,9.05,0,0,0,46.74,0,0,0,0,0,0,1.48,0,0,0,0,0
 36-46,0,0,4.28,0,0,0,5.07,0,7.24,0,0,0,0,0,0,1.29,0,7.38,0,0,0,246.98,0,0,0,0,0,0,23.77,0,0,0,0,0
 48-58,0,0.49,4.55,0,11.14,0,8.76,0,12.7,0,0,0.51,0,0,0,4.98,0,10.08,0,0.98,1.46,294.41,0,0,0,0,0.99,0,16.5,0,0,0,0,0
 60-70,0,0,2.99,0,8.06,0.67,7.81,0,51.67,0,0,0,0,0,0,6.82,0,27.69,0,0,0,608.88,0,2.68,0,4.22,0.64,0,7.02,0,0,0,0.77,4.71
 72-82,0,0,9.75,0.57,94.73,0,2.98,0,54.52,0,0,0,0,1.6,0.64,12.5,0,27.91,0,1.08,1.83,873.67,0,0,0,0.71,3.17,0,27.62,0,0,0.7,1.07,0
 84-94,0,0,32.52,0,92.8,0,1.52,0.91,22.11,0,0,0,0,2.03,0,23.67,0,45.37,0,0,2.46,789.39,1.84,7.38,0,5.28,0.61,0,15.43,0,1.79,0,4.32,0
 96-106,0,0,65.87,3.62,190.13,0,2,2.12,58.72,0.62,0,0,0,0,1.8,32.31,0.57,27.71,0,0,0.93,787.3,0,0,0,10.12,1.47,0,10.97,0,0,0,1.37,6.26
108-118,0,0.57,63.52,0,263.42,0,4.37,0,88.35,0.85,0,0,0,2.24,0,22.28,0,44.94,0.87,4.19,0,1705.33,2.67,0.58,0,18.21,5.87,0,19.53,1.31,0,0,0,0
120,0,3.73,68.71,0,274.97,0,17.54,0,141.97,0,0,0,9.71,0,0,69.23,0,32.85,0,0,4.9,2545.23,0,2.56,0,12.35,1.43,0,56.6,0,0,0,0,4.33
