stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,0.89,3.99,0,0,0,0
 24-34,0,0,1.42,0,0,3.71,0,0,0,34.8,0,0,0,0,0,0,0,0,0,149.13,0,0,0,0,1.96,103.89,0,0,0,0
 36-46,0,0,0.62,0,0,4.18,0,0,0,92.88,0,0,0,0,0,0,0,0,0.93,244.47,0,0,0,0,0,220.02,0,0,0,0
 48-58,0,1.29,0,0,0,8.92,0,0,0,156.47,0,0,0,0,0,0,5.57,0,0.77,156.52,0,0,0,0.73,0,176.78,0,0,0,0
 60-70,0,0,0.96,0,0,23.36,0,0,0,490.32,0,0,0,0,0,0,8.84,2.37,0.9,154.41,0,0,1.47,0,0.68,113.01,0,0,0,0
 72-82,0,0,5.03,0,1.16,65.8,0,0.56,1.17,893.53,0,0,0,0.93,0,0,18.47,3.8,6,117.98,0,0,2.19,0,0,60.39,2.98,1.26,3.84,0
 84-94,0,0,2.39,2.04,0,57.18,0,1.4,0,725.6,0,0,0,0,0,0,22.97,0,1.36,118.85,0,0.57,0.76,0,0,44.32,1.01,0,3.32,0.75
 96-106,0,0,4.74,0,0,68.5,0,0,0,1258.01,0,0,0,0,0.75,10.94,24.4,3.48,7.94,147.35,0.64,0,1.77,0.56,0.69,79.65,0,0,0,0
108-118,0,0,5.18,0,0,35.37,2.86,0,0,1414.27,2.94,0.57,0,0,0,0.43,55.05,3.05,8.59,147.92,1.11,0,15.51,0,0.46,46.58,0,0,0,0
120,1.12,0,5.56,0,0,106.68,0,0,0,2192.95,0,1.01,1.02,0,2.98,0,31.17,6.65,18.94,223.35,1.83,0,1.43,0,0,39.99,0,0,0,0
