stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79
 36-46,0,0,0,0,0,0,0,0,3.61,0,0,1.22,0,0.72,1.43,0,0,0,13.11
 48-58,0,0,0,0,0,0,0,0,11.2,0,0,6.78,0,0,0,0,0,0,21.18
 60-70,0,0,0,0,0.8,0,0,0,3.27,0,0,9.48,0,0,0,0,0,0,9.5
 72-82,0,20.55,1.63,0,1.24,0,0,0,1.31,10.14,0,2.22,0,0,0,0,0,0.5,6.67
 84-94,0,25.5,0,0,0,0,0,0,0,18.84,0,4.88,0,0,0,7.82,0,0,0.69
 96-106,0,49.47,0,0,0,10.39,0.86,3.98,0,26.92,0,17.17,0,0,0,10.57,0,2.05,12.41
108-118,0,128.43,5,0.93,0.68,8.64,1.49,1.1,0,25.28,1.59,16.07,0,0,0,38.19,0,0,26.29
120,0,114.32,0,1.08,0,9.21,0,0,0,32.64,0,3.19,0,0,0,23.14,11.28,0,10.85
