stage,blastomeres,epidermis,gut,mesenchyme,neural,periderm
  5-6,22.73,0,0,0,0,0
  7-9,0,0,0,0,9.15,0
 84-94,0,1.08,0,0,0,0
 96-106,0,0,1.52,1.91,0,0.61
108-118,0,0,0,1.05,0.56,0
120,0,0,0,4.76,0,0
