stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord
  7-9,0,0,0,0,0,0,7.87,0,0,0,0,0,0,8.95,0,0,0
 10-12,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.77,0,0,26.68,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,7.57,0,1.65,55.46,0,0.89,0,0,0
 48-58,0,0,0,3.03,0,0.54,0,0,22.67,0,0,289.1,0,8.8,0,0,0
 60-70,6.17,0.81,15.57,4.97,0,0,0,0,28.58,0,0,698.13,0,9.06,0,0,0
 72-82,8.83,0,0.89,25.76,1.68,0.67,0,0,34.63,0,0,1336.2,0.94,2.12,0.75,0,2.23
 84-94,10.81,0,0,10.63,0,0,0,19.96,9.13,17.22,0,1768.9,0,4.92,0,0,0
 96-106,8.59,0,0,16.24,0,37.63,0,0,6.95,4.9,10.38,1787.62,0,75.68,0,11.21,0
108-118,12.79,0,0,7.36,0,0,0,0.75,21.46,0,3.07,1403.6,0,9.18,3.21,8.3,0
120,20.15,0,0,2.72,0,3.02,0,0,24.19,0,0,530.4,0,0,0,0,0
