stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.41,31.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.07,228.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.52,0,0,0,17.41,29.14,0,0,0,0,0,0,0,0
  7-9,8.75,0,30.95,0,0,0,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,23.03,51.32,0,0,46.01,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,7.26,0,0,37.1,0,0,32,0,0,0,0,0,0
 14-21,0,0,0,5.21,1.03,0,2.32,0,0,1.25,0,0,1.15,0,0,0,0,0,0,0,0,11.95,0,0,0,0,8.13,4.54,0,5.92,6.37,0,0,0,0
 24-34,0,0,0,0.81,0,0,5.32,0.71,0,0,0,0,0,0,0,0,7.68,7.09,0,0,0.81,23.74,0.65,0,2.8,0,12.23,0,1.08,0.64,8.59,0,0,0,0
 36-46,0,0,0,3.89,0,0,4.3,0,0,0,0,0,0,0,0,0,0,8.18,0,0.95,0,37.65,0,0.78,0,0,20.81,0,11.01,0,7.61,0,1.38,0,0
 48-58,0,0,0,0,0,0,8.23,0,0.42,7.5,0,0,0,0.64,3.15,0.42,0,3.81,3.1,0,0,43.99,0,1.93,0.38,0,4.8,0,0,0,8.26,0,4.65,0,0
 60-70,0,0,0,0,0,0,11.74,0,1.64,7.62,0,0,0,0,0,0,0,4.34,0,0,1.13,44.42,0.66,1.72,0,0,9.05,0,0,0,20.65,0.84,0,0,5.63
 72-82,0,0,0,2.34,7.28,0,6.17,0,0,5.99,1.78,0,0,0,0,0,0,1.86,0,0,0,14.91,0,2.33,0,0,3.56,0,0,0,0,0,0,0,0.89
 84-94,0,0,0,1.28,0,0,6.85,0,0,2.7,0,0.77,0,3.79,1,0,0,19.67,1.3,0,3.02,13.75,0,0,0,0,19.78,0,0,0,6.54,0,0,0,5.88
 96-106,0,0,0,2.84,0,0.66,12.79,0,0,1.96,0,0,0,1.48,2.23,0.74,0,20.51,0,0,0,24.71,0,2.5,0.62,0,5.72,0,0,0,11.89,0,0,1.31,0
108-118,0,0,0,3.1,1.13,0,6.45,2.97,0.71,3.24,0.48,0,0,0.87,1.59,0,0,6.56,0,0.83,0.88,27.57,0,0,0,0,15.3,0,0,0,0,0,0.8,0,0
120,0,0,0,1.46,0,1.03,30.68,1.17,0,0,0,0,0,6.18,0,0,0,6.64,0,0,1.09,17.16,0,1.5,0,0,17.76,0,1.83,0,0,0,10.03,0,0
