stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,140.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.39,101.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.1,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,51,0,0,0,21.95,0,0,0,0,8.1,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.01,0,0.85,0,0,0,1.26,0,0,0,0,0,0,0,0,7.93,0,0,1.18,32.22,0,0,0,0,0,0,1.53,2.36,0,0.9,0,9.62,0,2.76,0,0
 24-34,0,0,0,0,1.48,0,4.07,0,0,1.23,0,0,2.27,0,7.23,0,0,2.03,0,4.32,0,0,0,58.34,0,0,0,0,0,7.37,0,0,0,0.99,1.75,24.59,0,4.52,0,0
 36-46,0,0,0,0,0,0,4.51,0,0,0,1.96,0,0,0,8.3,0,0,3.07,0,1.41,0,0,1.92,29.59,0,0,0,0,0,25.25,0,0,0,0,0,8.95,0,3.53,0,0
 48-58,0,0,0,0,3.75,0,9.9,0,0,0,0,0.91,0,1.16,2,0,0,5.98,0,6.3,0,0,1.37,13.14,0,0,0,0,0,21.24,0,0,0,0,0,0.62,0,1.88,0,0.49
 60-70,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,2.46,0,0,4.39,0,1.75,0,0,0,1.87,0,0,0.62,0,0,15.83,0,0,0,0,0,0,0,1.72,0,12.83
 72-82,0,0,0,0,0.56,10.58,4.7,0,0,0,2.39,1.84,0,0.82,1.09,0,0,0,7.84,10.71,0,1.17,0,14.13,0,0,0,0,0,31.51,0,0,0,0,0,2.38,0,3.94,0,12.09
 84-94,0,0,2.7,0,5.35,1.81,4.03,0,0,0,2.41,3.9,0,0,8.53,0.6,0,0,0.67,6.51,2.46,1.06,0,12.62,0,0,0,0,0,56.34,0,0,0,0,0,0,0,2.85,0,0
 96-106,0,0,0,0,9.48,8.35,5.37,0.62,1.88,0,11.93,9.29,0,0,19.35,2.21,0,2.51,0,7.98,0,0.58,0.62,12.4,0,0,0,0,0.97,81.62,0,0,0,0,0,0,0,3.51,0.93,23.54
108-118,0,0,0,0,7.28,7.81,0,0,1.17,0,2.62,7.15,0,0,6.83,0.96,3.19,3.19,2.09,13.75,0,0.79,0,23.23,0,0.6,5.21,0,0,45.17,0,0,0,0,0,1.56,0,5.52,0,12.23
120,0,0,0,0,13.66,4.88,0,0,3.18,0,0,5.56,0,2.11,16.48,1.63,2.22,12.73,0,19.3,5.28,0,0,14.63,11.22,0,0,0,0,72.72,0,0,0,0,0,0,1.53,12.27,0,0
