stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2.09,2.46,0,0,0,0,0,0,0,0,0,5.18,0,2.04,0.87,0,0,1.03,1.54,1.71,0,0,0
 24-34,2.95,1.56,0,0,1.25,0,1.37,0,0,0,3.78,2.61,6.13,25.17,0,0,0,0,1.54,8.21,0,1.26,0
 36-46,3.3,1.15,0,0,1.41,0.69,0,0,0.74,0,0,8.17,3.99,20.08,2.02,0,0,0,0,6.94,0,0,0
 48-58,0,8.5,0,0,0.49,1.05,0,0,0,1.37,0,6.78,1.6,8.83,1.2,0,0,0,0,1.2,1.28,0.94,0.85
 60-70,0,4,0,0,0,2.03,0,0,0,0,0,3.21,0,8.24,1.36,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.48,1.8,0,0,0.62,0,0,24.27,0.73,3.06,1.43,0,0,0,0,3.18,0,0,0
 84-94,0,6.62,0.7,4.62,0,0.56,0,1.33,0,0,0,19.33,0,4.99,10.28,0.65,0.71,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,11.45,0,5.92,0,0.8,0,0,0,3.59,0,6.79,0
108-118,1.48,3.33,0,0,0,0,0,0,0,0,0,11.08,0,10.69,0,0,0,0,0,0,1.11,0,0
120,0,1.73,0,0,0,0,0,0,0,0,0,16.27,0,13.03,10.09,0,1.07,0,0,0,0,0,0
