stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,107.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,163.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.38,0,8.61,0,0,0,42.36,0,0,0,0,0,13.16,0,0,0,0,0,0,0,0,0,0,0,201.33,14.59,0,0,63.12,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.38,12.05,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9,0,0,0,71.36,0,0,0,14.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.16,0.83,0,3.02,0,0,0,2.47,2.18,0,9.62,0,0,0,0,0,0,4.38,0,0,4.75,54.17,0,0,0,3.38,0,2.68,2.81,0,52.1,43.99,15.05,0,0,0,0,0
 24-34,0,0,1.46,6.89,0,0,23.13,14.73,0,0,0,0,0,10.2,0,1.18,0,0,0,1.23,15.99,0,0,27.78,162.25,0,0,0.68,0,0,14.89,0,0,35.56,45.1,32.57,0,0,0.91,0,0
 36-46,0,0,0,5.96,0,0,15.11,36.69,0,0,8.03,0,0,1.77,0,0,0,0.75,0,1.45,25.72,0,0,19.69,163.69,2.09,1.27,1.41,0,7.92,17.77,0,2.28,18.69,1.91,26.44,0,0,0.68,0,5.22
 48-58,0,0,0,3.44,0,0,50.01,20.05,0.92,1.68,9.37,0,0,0.58,2.44,0,4.09,0,0,2.7,17,0,0,5.08,167.3,0.99,0,4.27,4.77,0,7.3,0,0,14.93,0,45.45,0,0,2.44,0,9.6
 60-70,0,0,0,3.76,0,0,54.8,16.31,0.99,0,13.47,0,0,0,0,0,0,0,0,0,26.87,2.63,7.43,5.1,172.87,7.11,1.98,0,0,0,4.65,0,0,14.8,0,25.06,0,0,3.19,0,11.13
 72-82,0,0,0,4.75,0.57,0,77.91,13.02,0,0,8.96,2.83,0,1.28,0.71,0,0,2.02,0,0,58.62,0,0,3.41,134.08,0,2.77,0,0,0,8.47,0,0,2.7,0,27.93,0,0,6.09,1.16,0
 84-94,0,0,0,6.01,1.06,1.17,64.74,9.79,0,0,16.14,0,0.71,0,0.67,0,0,2.13,0,6.42,29.7,0,0,2.53,122.69,0,0,0,0,0.79,9.99,0,0,6.23,0,26.16,0.6,0,6.17,0.68,4.41
 96-106,0,0,0,9.54,0,0,65.57,15.84,1.93,0,33.42,1.78,0,4.11,0.86,0,0,1.67,1.06,0,74.74,0,0,5.68,122,0,3.54,2.34,0,0,15.79,0,0.6,12.82,0,6.62,4.1,2.69,2.95,1.67,0
108-118,0,0,0,14.37,1.61,0,52.86,6.42,1.08,0,30.32,1.06,0,0,1.32,0.75,1.25,0,8.64,0.53,20.77,0,0,8.13,114.6,1.06,0,1.05,0,0,4.74,0,1.06,11.81,0,13.07,0.48,0,2.9,2.23,1.42
120,0,0,0,13.78,19.18,0,54.42,2.76,2,12,35.08,2.84,0,0,9.46,0,0,0,0,0,16,2.98,5.91,9.85,194.36,0,0,6.6,0,0,5.08,0,0,4.46,0,9.81,1.99,0,16.51,0,0
