stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.84,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,2.91,6.82,9.91,0,0,0,0,4.54,0,0,1370.27,373.06,1.45,0,0,0,0,0
 24-34,0,9.29,0,0,16.48,406.23,0,0,0,0,2.3,1.77,0,7.92,0,0,0,0,12.07,5.25,0,32.27,194.94,0.61,0,1.31,0,0,5.36,3.08,0,340.33,123.51,17.76,0,0,0,0,0
 36-46,0,3.49,0,0,20.22,844.03,0,0,1.66,0,4.57,8.14,0,1.85,3.31,0,0,2.54,20.8,0,0,32.13,259.21,2.46,0.93,0.58,0,0,14.92,0,0,279.68,2.23,42.28,0,0,14.34,0,0.66
 48-58,0,0,0,0,37.28,252.21,0,0,2.01,0,0.39,0,0,0,0,0,0,4.96,7.49,0,0,28.55,108.84,0,0,0,0,0,0,0,0,115.4,0,27.27,0,0,0,0,0
 60-70,0,14.92,0.82,0,66.16,312.22,0,0,0,0,0,0,0,2.31,0,3.84,0,0.63,42.93,0,0,56.49,83.63,0,0,1.79,0.81,0,12.33,0,0,128.47,0,3.57,9.76,0,0,4.34,0
 72-82,0,2.73,0,0,62.52,200.24,0,0,8.39,2.39,0,1.02,0,0.53,0,1.05,0,0,75.32,0,0,30.41,79.63,0,0,0,2.25,0,6.57,0,0,43.58,0,4.88,3.53,0,9.76,0,0
 84-94,2.22,0.65,0,0,43.41,395.39,0,0,11.1,11.97,0,0,0,1.01,1.82,0,0,0,62.93,1.81,0,46.93,81.03,0,2.29,1.38,0,0,0.64,0,0,107.73,0,6.49,8.24,0,9.26,0,0
 96-106,0,21.46,29,0,98,994.82,8.02,3.65,55.14,25.76,0,0,10.78,2.75,3.34,1.98,26.25,0,118.14,1.22,1.32,70.46,322.04,0.79,0,2.79,21.32,3.64,35.37,0,0,129.64,0,1.12,42.49,0,9.42,4.08,20.83
108-118,0,6.84,7.31,5.12,130.7,1023.42,2.9,5.33,27.65,27.84,0,0,5.12,1.28,0,1.42,4.94,7.23,95.27,0.59,3.05,94.18,289.5,2.09,0.75,5.39,0,12.32,13.24,0,1.45,175.56,0,10.54,53.21,14.55,21.24,2.72,13.28
120,0,3.26,41.87,2.02,75.96,579.47,0,0,4.01,23.59,0,0,7.64,0,0,0,0,0,6.74,0,0,105.34,162.23,0,0,3.96,0,0,0,0,0,79.52,0,0,26.67,0,2.64,0,0
