stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.81,959.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.73,259.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.81,0,15.56,0,0,0,22.74,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,52.68,3.99,0,0,93.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.31,0,0,0,0,0,0,0,0,0,42.51,0,0,0,0,0,0,0,0,0,0,0,156.23,0,0,0,53.66,0,0,0,22.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.05,145.78,3.33,0,0.87,0,0,0,2.14,2.87,0,236.08,0,1.16,0,0,0,0,232.56,0,0,34.77,43.71,4.23,0,0.9,0,0,11.36,7.28,0,2.99,12.97,20.79,0,0,1.41,0,0
 24-34,0,0,0,0,42.45,3.21,0,16.63,0,5.89,0.61,8.74,0,0,229.92,4.27,0.68,0,4.96,0,3.79,19.81,5.93,0,33.65,189.83,0.6,0.95,6.34,0,0,16.24,0,0.61,34.01,6.29,101.86,0,0,9.77,0,1.34
 36-46,0,0,0,0,48.01,2.92,0,30.59,0,1.79,4.11,15.03,0,0,92.76,0,0,14.87,0.61,0,3.86,37.29,0,2.06,9.99,181.74,2.49,2.46,1.28,0,0,8.98,0,0,64.79,0,66.11,0,0,8.77,0,0
 48-58,0,0,0,0,44.04,0,0,62.63,0,8.95,3.86,47.23,0,0,66.35,0,1.04,0,2.52,6.33,0,57.64,2.91,3.4,13.9,212.69,4.09,1.58,3.39,0,0,9.88,0,0,71.38,0,64.59,0,0,8.41,0,5.38
 60-70,0,0,0,0,44.99,0.67,0,76.03,17.5,7.97,5.13,50.18,3.81,0,41.51,0,2.54,0,2.01,0,2.19,69.22,0,3.61,4.4,202.58,0.96,2.52,5.29,0,0,6.05,0,0,40.84,0,53.23,0,2.23,0,0,0
 72-82,0,0,1.73,0,19.33,1.23,0,118.15,14.66,1.15,0.84,44.16,7.41,0,16.16,2.8,1.54,0,6.76,2.42,0,79.17,5.06,9.08,10.35,230.16,0,0.56,4.82,0,0,6.76,0,0,41.8,0,20.74,1.41,2.37,12.44,0.59,0
 84-94,0,0,1.11,0,50.31,6.84,0,100.73,54.59,7.98,0,37.82,16.51,0,20.22,3.83,4.28,3.47,7.44,1.06,0,87.69,1.31,2.51,10.05,197.91,0,8.16,15.46,0,0,12.96,0,0,112.05,0,14.66,4.01,3.34,11.44,6.32,0
 96-106,0,0,1.06,0,45.16,7.03,0.84,99.16,74.92,3.62,0,69.77,7.61,0,29.38,2.4,1.25,0,15.63,35.73,0,54.43,1.41,0,20.36,213.18,1.39,4.53,10.74,0,0,17.7,0,0.78,257.02,0,16.62,10.51,2.87,14.87,1.71,6.14
108-118,0,0,0,0,63.45,6.85,9.21,82.7,260.44,16.48,0.73,27.01,12.89,0,66.47,1.95,0.42,1.56,3.61,4.19,0,34.86,0.98,1.41,0.95,210.65,0,0.46,3.1,0,3.47,17.01,0,1.91,315.69,0,4.15,4.88,0,13.42,3.5,0
120,0,0,0,0,59.68,2.42,5.47,69.46,162.5,10.05,24.16,45.33,7.96,0,17.98,12.02,0,0,3.9,1.06,1.55,33.27,4.71,0,2.77,416.24,2.06,3.26,7.06,0,0,13.7,0,4.08,144.85,0,22.07,8.72,4.4,7.47,0,0
