stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,116.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.93,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.82,0,0,0,62.06,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.65,0,0,0,17.96,0,0,0,13.48,0,0,0,0,0,0
 14-21,0,0,1.05,0,2.45,0,0.9,0,0,0,11.09,0,0,0,0,0,0,1.41,0,13.28,0,0.95,20.51,0.83,1.51,0,0.97,0,0,1.28,4.14,0.87,49.68,0,0,0,0
 24-34,0,0,0,0,0.66,0,5.61,0,0,0,20.83,0,0,0,0,0,0,0,0.62,5.21,0,0.69,103.85,0,25.45,0,0,1.48,0,0,15.04,0,79.54,0,0,0.77,0
 36-46,0,0,0,0,2.06,0.57,29.17,0,0,0,26.02,0.74,0,1.33,0,0,0,6.65,11.93,4.89,0.8,1.26,139.1,0,17.1,0,0,0,0,0,6.21,0,56.52,0,0,1.01,3.12
 48-58,0,0,0,0,2.33,6.78,24.84,1.54,0,0,26.12,0,0,0.52,3.13,0,0,4.02,2.88,8.98,0,3.79,109.82,0,18.36,0,0,0.43,0,0,5.03,0,68.12,0,0,0,7.65
 60-70,0,0,0,0,2.96,0.76,38.32,0,0,0,23.35,0.63,0,0,0.86,3.38,0.77,8.24,0,7.93,0,0,121.77,0,30.13,5.54,0,3.4,0,0,0.68,0,40.61,0,0,2.74,18.64
 72-82,0,0,1.28,0,2.91,0.88,57.19,0.6,0,4.37,40.11,3.69,0,9.03,0,0,0,36.99,0,6.14,0,0,109.44,0,63.49,4.43,0,0,0,0,0,0,24.92,6.64,0,0,15.54
 84-94,0,0,2.24,0,5.62,1.37,39.32,0,0,0,31.98,6.34,0,7.84,0,0.86,0,62.62,0,11.09,0.66,1.75,123.61,0,50.23,2.88,0,1.61,0,0,3.73,0,25.86,0,0,0,7.78
 96-106,0,0,1.55,0,11.81,1.35,32.26,0,0,0,26.89,7.14,3,7.28,0,0,2.28,40,0,5.61,0,0,90.61,0,48.65,4.42,0,0.67,0,0,2.46,0,29.69,20.32,0,3.18,0
108-118,0,0,2.7,0.77,1.41,1.66,22.18,0,0,0,29.43,2.99,0,7.27,1.65,0.79,0,87.91,0,7.75,0,0,85.84,0,69.45,6.43,0,0.44,0,0,4.41,0,23.67,1.82,0,4.41,7.59
120,0,0,0,0,5.87,0,24.89,1.01,1.23,0,33.71,21.5,0,6.89,1.25,0,1.04,80.22,0,13.55,0,8.62,170.26,0,59.38,9.8,0,5.53,0,0,3.93,0,6.79,0,1.52,0,0
