stage,blastomeres,epidermis,eye,immune,mesenchyme,neural,somites,spinal_cord
  3-4,15.43,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.36,0.6,0
 36-46,0,0,0,0,0,2.27,0,0
 48-58,0,0,1.46,0.8,0,1.14,0,0.37
 60-70,0,0.67,1.5,0.57,0.68,0,0,0
 72-82,0,0,0,1.03,0,0,0,0
 96-106,0,0,0,0.72,0,0,0,0
108-118,0,0,0,0.44,0.95,0,0,0
