stage,eye,gut,liver,mesenchyme,neural
 48-58,0.87,0,0,0,0
 60-70,0,1.91,0,0,0
 72-82,0,0,0,0.84,1.98
 84-94,0,3.39,0,0,0.63
 96-106,0,0.66,1.38,0,0
108-118,0,1.54,3.53,0,0
120,0,2.97,0,0,2.3
