stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.46,255.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0
  5-6,22.69,156.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.57,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03,5.22,0,0,16.52,0,5.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.84,53.59,0,0,47.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,265.93,0.81,0,1.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.79,7.75,0,2.74,0.93,0.99,0,0,1.07,0.8,11.09,0,0,0,0,0
 24-34,0,0,0,0,389.34,0,0,2.05,18.3,0,5.76,0,0,0,0,0,12.37,1.44,8.8,8.39,0,3.44,178.58,0,2.13,2.68,0,32.17,0,2.05,0,0.63,19.67,0,0,0,0,0
 36-46,0,0,0,0,408.89,0,0,9.58,36.49,0,38.41,0,0,0,0,0.91,12.96,0,3.36,8.04,0,0,192.98,0,1.65,2.62,0,45.67,0,0,0,0,46.94,0,0,6.06,0,4.18
 48-58,0,0,0,0,270.34,0,0,15.16,20.03,0.71,116.43,0,0,0,0,0,15.72,0,5.97,1.55,0,0.44,130.01,0,1.18,1.26,0,45.86,0,0,0,0,74.93,0,0,12.91,0,0
 60-70,0,0,0,0,284.43,0,0,27.15,40.65,0,289.21,0,0,0,0.93,1.44,26.23,0.87,12.94,8.07,0,0,63.71,1.12,0,2.99,0,78.33,0,0,0,0,27.11,0,0,11.14,0,6.3
 72-82,0,0,0.54,0,178.6,0,0,20.13,21.67,0.68,285.88,1.04,1.32,0,0,0,33.26,1.68,10.06,3.55,0.96,2.74,62.69,2.7,0.58,6.13,0,84.13,0,0.73,0,0,24.32,1.12,0,21.41,0,6
 84-94,0,0,0,0.61,299.06,0,0,58.29,38.04,0.81,190.73,1.47,0,0,1.88,4.09,38.89,1.19,8.87,6.12,0,0,47.31,0,1.32,3.63,0,228.15,0,0.56,0,0,22.15,4.51,1.27,20.94,0,0
 96-106,1.12,0,0,0,285.52,20.05,2.19,26.02,15.73,0,235.39,1.96,0,0,0.57,1.6,30.25,4.41,1.25,3.26,0,6.1,77.79,3.4,4.03,0.76,0,181.3,0,3.02,0,0,5.42,1.31,0,28.63,0,0
108-118,0,0,0,0.49,305.62,0.46,0.55,23.74,25.66,0,256.87,4.62,0,0,2.88,2.18,35.56,13.31,13.02,4.72,0,0,41.51,3.67,0,0,0,130.41,0,1.97,0,0,2.21,0.63,0,14.83,0,0
120,0,0,0,0,290.53,0,0,22.39,23.83,0,295.95,0,0,1.01,0,0,6.94,9.15,2.41,2.63,0,5.19,99.39,0,1.09,0,0,99.37,0,1.73,0,0,0,2.83,0,10.26,7.07,0
