stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.34,83.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,13.72,0,5.11,0,0,0,0,0,0,0
 10-12,0,6.19,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,31.17,5.7,0,0,5.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.87,81.3,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.9,96.74,0,0.87,2.57,0,0,0,16.31,1.06,59.05,0,1.82,0,0
 24-34,0,0,0,0,1.89,0,3.15,0,1.38,0,4.08,0,0,0,0,0,0,0,0,4.55,0,0,269.75,1.15,0,0,0,4.56,0,0,0,136.58,0,0,0,0
 36-46,0,0,0,0,0,0.58,16.61,0.7,0,0.62,10.2,0,0,0,0,0,0,0,0,7.8,0,0,877.29,1.33,0,0,0,1.73,0,0,0,277.94,0,0.66,0,0
 48-58,0,0,0,0,1.3,0,30.33,0,0,6.58,10.73,0,0,0,0,0,1.69,0,2.74,5.72,0,0,675.31,0,0,0,0,0.39,0,0,0,140.19,0,0.41,0,6.57
 60-70,0,0,0.89,0,3.78,0,45.88,0,0,0.93,47.58,0,0,0,0,2.04,0,0,0,10.05,0,4.38,1480.87,0,0.84,0.59,0,0,0,0,0,248.17,0,2.89,0,8.46
 72-82,0,0,0,0,3.08,0.66,98.13,0,0,4.88,15.47,0,0,0,0,0,1.05,1.44,0,17.79,11.1,1.38,877.5,0,0,4.05,0,0,0,0,0,88.38,0,0,0,3.68
 84-94,0,0,0,0,8.17,1.66,85,1.15,0,2.1,23.21,0.68,0,0.79,0,0,0.8,0,1.35,11.61,0,0,659.09,0,0,0,0,0.71,0,0,0,40.47,0,0,0,0
 96-106,0,0,0,0,2.45,0,80.04,0,0,0.64,21.34,0,0,0,0.95,0,0,9.55,0,0,11.75,3.99,714.62,0,0.93,5.53,0,1.41,0,0,0,17.14,1.2,1.39,0,7.73
108-118,0,0,0,0,0,0,142.54,0,0,1.28,30.87,0.87,0,0,0,0,0,0.85,0,9.74,0,2.16,886.88,0,0,9.51,0,2.12,0,0,0,26.74,0,0,0,1.25
120,2.82,0,0,0,23.42,5.77,209.65,0,0,0,45.73,0,0,0,0,0,0,0,0,0,0,6.93,1598.91,0,0,10.49,0,1.07,0,0,0,82.6,0,0,3.54,0
