stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0
  7-9,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,0,0,0,0,0,0,0
 10-12,7.54,0,0,0,0,3.94,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,61.13,0,0,0,0,0,0,0,0
 14-21,0,0,7.29,0,0,10.17,0,0,0,0,0,1.81,0,8.49,0,0,0,0,0,0,0,8.64,1.07,1.44,0,11.35,0.87,5.06,0,0
 24-34,0,0.6,0.62,1.4,0,0.67,0,0,0,0,0,0,0,0.63,0,0,1.09,0,0,0,0,6.38,0,1.96,0,7.13,0,0.67,0,0
 36-46,0,0,12.1,0,0,3.19,0,2.26,0,1.5,0,0,0,0,4.25,0,0,0.8,0,0,0,5.77,0,1.3,1.49,0.62,0,0,0,1.37
 48-58,0,0,0,0,0,7.87,0,0,0,3.33,0,0,0,0,3.76,0,2.01,1.36,0,0.41,0,21.48,0,0,0,5.05,0,1.36,0,0
 60-70,0,0,0.88,0,0,14.24,0,0,0.83,0.57,0,0,0,0,8.04,0,0,0.8,0,0.66,0,16.96,0,0,0,5.84,0,1.22,0,0
 72-82,0,0,0,0,0,14.38,0,0,0,0.52,0,0,0,0,11.85,0,0,0.87,0,0,0,13.52,0,1.22,0,2.54,0,2.37,0,0
 84-94,0,0,7.82,0,0,4.07,0.75,0,0,0,0,0,0.55,0,14.48,0,0,3.58,0,0,1.02,12.63,0,0,1.04,14.01,0,1.09,0.55,0
 96-106,0,0,0,0,0.98,0.99,0,0,0,3,0,0,0,0,8.29,0,0,0,0,0,0,2.01,0,0,0,2.99,0,0,2.47,0
108-118,0,0,0.77,0,0.6,3.47,0,0,0,0,0,0,1.39,0,25.59,0,0,0.53,0.96,0,1.88,0,0,0.7,0,7.38,0,0,0.46,0
120,0,0,0,0,0,0,0,0,0,2.67,8.8,0,0,3.9,8.53,1.01,0,2.09,0,0,0,4.3,0,0,0,3.13,0,0,0,0
