stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,14.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.46,0,6.72,0,0,0,0,0,0,0,0,0,2.02,0,3.09,8.49,0.9,0,0,0,0,0.83,1.03,0,4.21,12.59,2.28,0,0,0,0
 24-34,0,1.34,4.34,0,19.76,0.72,0,0,1.61,0,0,0,0,0.63,4.56,0,13.57,14.84,0,0,0,0,0,0,0,0,1.93,4.47,2.76,0,0,0,0
 36-46,0,0,1.65,0,4.06,7.76,0,1.94,0,0,0,0,0.57,0,8.82,0,6.02,9.78,0,0,0,0,0,0,0,6.54,3.46,0,0,0,0,0,0
 48-58,0,0,1.57,0,7.5,1.9,3.73,3.86,1.31,0,0,0,1.38,0,19.62,0,3.47,15.3,2.54,0,12.48,0,0,0,0,17.92,4.51,0,2.24,0,0,0,8.53
 60-70,0,0,1.7,0,6.62,1.87,8.12,2.52,3.61,0,0,0,0,0,26.19,12.49,0.93,14.6,3.71,0,6.13,0,0,1.57,0,12.85,11.48,0,7.36,0,0,0,0
 72-82,0,0.56,3.25,4.61,18.48,1.29,2.69,0.7,8.99,0,0,0,0,0,54.54,10.21,4.61,15.63,0,0,15.4,0,0,2.64,0,2.06,4.96,0,9.06,0,2.2,4.76,4.34
 84-94,0,0,8.67,0,8.95,2.32,8.11,0,0.98,0,1.01,0.57,0,0,59.28,6.17,1.04,14.89,0,0.8,11.51,0,0,4.18,0,4.28,9.41,0,0,0.66,3.16,9.79,0
 96-106,0,0,8.27,0,56.56,8.82,9.6,0,8.13,0,3.57,0.56,0,0,76.39,17.14,8.16,37.02,0,2.07,31.12,0,10.33,0,0,5.91,8.29,0,0.84,0,8.06,18.14,0
108-118,0,0,13.8,0,23.23,12.86,33.68,0,26.15,0.88,1.42,0.58,0,0,118.55,9.76,4.09,33.13,0.51,0,27.62,0,0,3.15,0,6.71,12.83,0,0,0,22.73,7.22,0
120,0,0,25.2,0,2.48,25.55,7.49,0,24.27,0,6.95,0,0,0,103.55,21.31,8.16,53.31,0,0,42.93,0,0,0,0,0,3.78,0,0,0,2.2,41.47,0
