stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,24.63,0,0,0,4.19,0.88,0,0,0
 24-34,0,0,0.81,0,0.7,0,0,0,5.06,0,0.64,0,0,12.57,2.33,0,6.89,74.89,1.36,4.05,0,0,2.69,43,0,0,0
 36-46,0,0.75,0,0,1.11,0,0.95,0,7.79,0,0,0,0,38.47,0,4.42,23.88,153.62,0,0,0,9.13,0,78.42,0,0,0
 48-58,0,0.91,0,0,23.28,0.48,0,0,8.35,0,0,0,0,21.8,0,5.61,18.3,223.57,0.5,0,0,0,9.42,47.56,0.42,0.46,0
 60-70,0,0,0,0,14.86,0,3.05,0,3.9,0,0.65,0,0,27.76,0,14.81,7.73,317.62,0,0,0,0,4.74,21.53,2.79,0,2.73
 72-82,0,0,6.98,0,61.18,0,0,0,20.28,1.04,0,0,0,39.67,0,8.73,5.8,331.22,0,0,0,0,0.59,20.58,5.75,0,18.34
 84-94,0,0,0,0,30.02,5.48,0,0,7.37,0,2.1,0,0,24.08,0,1.99,5.73,197.87,0,2.74,9.26,0,11.87,8,8.26,0,2.46
 96-106,0,0,10.89,0,84.87,2.5,0,0.64,3.47,0,0,0,0,27.48,0,2.35,1.87,281.81,0,3.63,3.28,4.24,3.36,4.79,5.47,1.86,15.3
108-118,0,1.27,0,0.5,53.55,6.3,0,0,4.8,0,0,0.86,2.49,26.86,0,4.39,3.39,349.31,0,3.5,2.93,0,9.88,6.9,4.25,2.05,23.26
120,0,12.27,0,0,14.92,2.98,0,1.98,4.41,0,0,0,0,51.34,0,0,1.18,501.44,0,1.59,0,0,1.22,17.25,1.56,0,44.29
