stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,102.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.67,5.21,0,0,1.19,0,0,0,0.92,0,0,0,0,0,0,0,6.37,0.81,0,0,0,0,1.98,0,0,1.38,6.59,1.82,0,0
 24-34,0,0,0,5.21,0,0,4.62,4.52,0,1.55,0,0,0,0,0,0,0,0.65,0,150.9,1.33,0,0,0,0,0,0,0,0,35.96,7.58,0,0
 36-46,0,0,0,0,0,0,4.44,0,3.55,0,0,0,0,0,0,0,0,1.23,0,316.24,5.36,5.32,0,0,0,0.86,0,0,0,66.9,14.16,0,0
 48-58,0,0,0,6.64,0,0,32.25,0.44,0.97,4.33,0,0,1.63,0,0,0,0,10.53,1.11,540.14,0,1.45,0,0,2.79,0,0,0,0,67.15,9.9,0,4.49
 60-70,0,0,0,1.99,0,0,83.94,0,0.87,5.14,0,0,0,0,0,0,0,2.75,0.68,1075.09,0,3.91,2.22,0,3.29,0,0,1.01,0,117.34,9.64,0,0
 72-82,0,0,0.88,7.83,0.55,0,142.49,0.66,0,11.81,2.21,1.36,0,0,2.92,0,0,5.18,3.43,1126.47,0,0.93,0,0,4.05,0,3.93,0,0,116.98,19.76,0,0
 84-94,0,0,0,1.62,0,0,151.23,0.58,4.5,9.54,1.03,0,0,0,0.67,0,6.68,6.01,0,663.77,0,0,0,0,6.1,0,0,0,0,65.58,34.11,1.21,0
 96-106,0,0,0,6.28,6.83,0,122.17,0,0,10.1,2.43,1.54,4.4,0,0,0.84,0,6.75,1.21,726.52,0,2.26,0,0,10.39,0,1.43,0,0,20.63,18.84,0,0
108-118,0,0,0,8.39,0,0,118.62,0,0.64,5.1,2.05,0,0,0.86,0,0,0,12.97,0.57,873.28,0,0.59,0,0,1.05,0,0.97,0,0,64.77,19.94,0,0
120,0,0,0,5.36,0,1.8,74.76,1.88,1.67,7.42,1.52,0,0,0,0,0,0,0,1.51,1240.73,0,1.15,0,0,5.73,0,5.59,0,0,21.56,8.29,0,0
