stage,eye,immune,neural,spinal_cord
 14-21,0,0,3.67,0.83
 24-34,0,0,1.24,2.37
 36-46,0,0,4.03,2.18
 48-58,0,0,0.46,1.37
 60-70,3.41,0,0,0
 72-82,6.61,0,0,1.2
 96-106,0,0.89,0,0
108-118,0,0,1.07,0
