stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,0,0,0,4.41,0,4.81,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.04,0,0,0,0,10.14,0,0,0,0,0,0,0,0
 14-21,0,0,8.53,2.22,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,1.81,15.59,0,0,0,0,31.86,0,2.15,11.32,0.86,6.68,9.44,0,0
 24-34,0,0,30.19,0,0,4.92,0,0,0,0,0,0,2.8,0,3.6,0,1.31,0,0,20.55,0,0,5.31,38.89,0,1.36,2.07,0,205.17,0,0,11.43,0,0,7.18,2.11,0
 36-46,0,0,1.7,0,0,7.27,0,0,0,1.36,0,0,1.51,0,2.34,0,0.6,0,0,16.23,5.63,3.39,6.44,48.26,0.73,0,0.61,0,208.41,0,0,10.87,0,0,15.08,0,0
 48-58,0,0,3.81,0,0,3.03,0,0,0,0.78,0,0,0,0,0.81,0,0,0,0.54,13.66,0,0,1.5,60.35,0,0,0,0,99.21,0,0,11.98,0,0,6.17,0.54,2.03
 60-70,0,0,0,0,0,12.06,0,1.19,0.75,18.01,0.99,2.74,0,0,3.42,1.16,0,0,0,4.63,0,0,1.08,79.22,0,0.83,0,0,78.47,0,0,23.37,0,0,10.11,0.72,0
 72-82,0,0,4.05,0,0,19.33,0,0,0,34.27,1.06,0.51,0,0,4.17,0,0,0,0,7.43,0,0,0,38.55,0,2.23,0.56,0,44.11,0,0,11.79,0,0,0.91,1.51,0
 84-94,0,0,7.93,0,0,7.98,9.11,0.63,0,20.54,2.92,1.84,0,0.73,3.78,0,0,0,0,4.31,0.57,0,0,29.53,0,0,0,0,125.97,0,0,23.38,0,0,10.58,0,0
 96-106,0,0,12.28,0,0,11.23,0,1.32,0,60.19,4.49,0,0,0.68,13.4,0,0.63,0,0,7,4.46,0,0,26.26,0,1.99,0,0,169.66,0,0,5.38,0,0,0,0,0
108-118,0,0,24.03,0,0,18.41,0,5.25,0,124,3.92,0,0,0.75,16.14,0,1.01,7.04,0,6.14,3.23,0,0.56,51.1,0,0.43,0.42,0,236.26,0,0,6.82,0,0,5.31,3.91,0.59
120,0,0,35.28,0,1.71,11.57,0,4.27,0,155.55,8.84,0,0,1.01,5.31,0,0,0,0,10.99,6.43,8.33,0,108.34,0,11.26,0,0,265.9,0,0,17.37,0,0,0,0,0
