stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,97.05,2275.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.07,0,0,0,0,0,0,0,0,0,0
  5-6,54.43,662.69,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,43.21,7.03,0,0,8.27,0,15.69,0,0,0,0,0,0,0,0,0,0
  7-9,5.67,39.99,0,21.64,0,0,0,138.45,0,0,0,0,20.21,0,0,0,0,0,0,0,0,0,0,0,531.24,32.13,0,0,257.75,0,0,12.1,0,0,0,0,0,0,0,0,0
 10-12,0,18.05,0,19.06,0,6.05,0,162.84,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,852.57,46.26,0,0,396.2,0,0,0,0,42.09,0,0,0,0,0,0,0
 14-21,0,0,0,0,21.05,3.09,0,4.12,0,0,0,1.08,0,0,0,0.95,0,0,0,0.85,10.94,0,0,5.68,99.24,0,0,0.93,1.19,0,0,0,32.12,1.63,18.45,24.44,0,0,0,0,0
 24-34,0,0,0,0,7.63,0,0,30.65,0,1.38,3.87,0,0,1.37,0.71,0,0,0.79,1.53,2.82,22.13,0,0,5.05,177.96,2.99,4.5,1.33,0,0,4.01,0,0.93,0,6.85,37.5,0,0,2.78,0,0.6
 36-46,0,0,0,0.56,2.37,0,0,27.02,1.75,0.64,7.11,0,0,0,0,0,0,0,7.64,0,11.13,0,0,10.38,117.55,0,2.74,0.77,0,0,2.02,0,1.05,0,0,36.07,0,0,0,0,4.08
 48-58,0,0,0,0,0,0,0,80.25,0.41,0,20.5,0.46,0,1.38,5.07,0,0,0.74,0,0,18.26,0,0,4.82,201.33,0.52,8.92,0,0,0,1.06,0,0,0,0,35.34,0,0,0.59,0,0
 60-70,0,0,0,0,1.33,0,0,68.92,0,0,7.19,0.62,0,0,0,0,1.16,0,0.87,0,22.56,0,0,4.45,109.23,0,0.98,2.66,0,0,0,0,0,0,0,15.34,0,0,2.68,0,0
 72-82,0,0,0,0,0.86,0.55,0,87.9,0.62,0.5,23.72,1.19,0,1.15,0,0.62,2.41,0,0,0,41.19,0,0.55,5.7,153.8,0,1.7,2.59,0,0,4.06,0,0,0,0,19.53,0,1.17,2.27,0,0
 84-94,0,0,0,0,26.58,1.44,0,58.56,0,0.69,25.85,4.45,0,0.73,3.13,1.79,1.4,3.87,0,0,29.4,0,2.94,14.56,80.05,0,12.57,1.87,0,0,6.77,0,0,1.69,0,8.2,1.53,3.27,1.74,0,2.53
 96-106,0,0,2.05,0,5.21,2.43,0,35.09,1.95,1.38,18.85,11.04,0,0,1.39,0,0,0,9.02,0,47.21,0.77,3.44,7.8,70.24,1.4,3.52,5.52,0,0,12.28,0,0,0,0,4.4,0,0.58,2.54,0,7.91
108-118,0,0,1.67,0,10.11,12.12,2.73,47.14,1.07,0,29.15,2.11,0,0,3.42,0,5.76,0,1.89,2.66,61.71,0,3.84,6.7,142.37,0,2.15,6.1,0,9.86,17.14,0,0,0,0,5.03,1.34,0,2.75,0.72,0.79
120,0,0,0,0,12.55,1.18,0,87.54,1.04,2.94,5.28,2.87,0,0,2.13,4.35,0,1.07,0,0,43.9,0,0,10.94,99.45,0,3.57,0,0,0,16.79,0,0,1.13,0,0,0,0,1.15,0,6.17
