stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.94,312.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.67,138.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,18.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.93,0,0,0,0,0,0.88,1.69,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.71,21.05,0,0,0,0,0,2.56,0,0,0,0,0,0.69,0,0,0.72,8.09,0,0,0,0,0,17.66,0,0,0,0,0
 48-58,0,0,0,0,2.06,0,0,11.84,34.63,0,0.46,2.17,0,0,0,0,0,0,0,0,6.33,0,0.75,0.79,53.31,0,0,0,0.65,0,85.18,0,8.46,0,1.05,5.73
 60-70,0,0,0,0,9.44,0,0,29.54,39.84,1.96,0,7.81,0,0,0,0.6,5.9,0,0,0,3.29,0,0,2.4,29.23,0,0,15.3,0,2.54,66.66,0,4.62,0,0,0
 72-82,0,0,0,0,0.65,2.07,0,26.3,53.28,0,0,5.77,0,0,0,0,0,0,0,0,11.2,1.8,0,5.16,35.71,0.52,0,4.15,0,0,27.11,0,6.11,0,0,10.12
 84-94,0,0,0,0,3.14,0,0,25.76,83.03,12.26,0,13.31,0,0,0,5.9,0.69,1.57,3.49,0.83,5.18,0,0,7.26,37.57,0,0,4.92,0,0,55.86,0,7.54,0,0,0.64
 96-106,0,0,0,0,1.66,21.96,0.98,75.5,125.36,0,0,2.71,2.44,0,0,0.86,0,0,0,0,17.65,0,0,4.3,49.53,0.61,0,3.08,0,0,34.39,0,5.54,1.15,3.42,15.3
108-118,0,0,0,0,10.39,0,0,46.27,94.06,0.52,1.09,4.08,0,0,0,0,0,0,1,0,19.41,0,0,10.54,33.31,0,1.86,1.89,0,0,40.36,0,0,0,0,0
120,0,0,0,0,3.82,0,0,21.65,32.37,0,0,0,0,0,0,0,0,0,13.18,0,12.24,0,0,2.95,51.54,0,0,1.96,0,0,17.9,0,0,0,0,2.85
