stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,23.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.84,0,7.74,0,0,16.51,0,0,0,0,3.42,0,0,0,0,0,0,0,0,95.11,20.63,0,0,13.47,0,0,0,0,0,0
 10-12,13.22,0,19.59,0,0,152.78,0,0,0,0,11.35,0,0,0,0,0,0,0,0,480.23,0,0,0,10.09,0,9.34,0,0,0,0
 14-21,0,1.13,6.75,4.71,0.99,5.14,0,0,0,0,0,0,0,0,0,0.92,0,0,1.32,59.8,0.87,2.68,0,0,0,0,11.9,0,0,0
 24-34,0,0,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,79.32,0,12.88,0,0,0.65,0,19.11,0,0,0
 36-46,0,0,0,2.38,0,1.6,0.65,0,0.84,0,0,1.47,0,0,0,1.93,0,0,0,185.5,0,9,0,0,0,0,17.4,0,0,0
 48-58,0,0,0,0,0,6.63,0,0.44,3.15,0,0,0,0,0,0,4.16,0,0.39,0.97,254.05,0,4.76,0,0,0,0,8.79,0,0,0
 60-70,0,0.62,0,0.66,0,47.95,0,5.21,5.91,0,0,0,0,3.43,0,5.52,0,0.63,4.42,419.78,0,1.94,0,0,0,0,43.75,0,0,0
 72-82,0,0.69,0,2.56,0,101.82,0,0,8,1.56,0,0.81,0,0,0,10.64,0,0,0,563.86,0,2.2,0,0,0,0,26,2.1,3.82,0
 84-94,0,0,0,1.17,2.9,83.77,0,0,5.39,0,0,0,0,2.83,0.74,1.21,0,0,0,327.29,0,0,0,0,0,0,5.87,2.64,0,0
 96-106,0,0,0,1.25,0,92.12,0.81,0.86,2.96,2.32,0,0,0,0,0,3.25,3.31,0.79,0.58,310.8,0,3.43,0,0,0,0,9.53,0,2.1,0
108-118,0,0,0,0.45,0,69.71,0,0,8.3,6.79,0,0,0.64,0,0.7,7.04,0,0.69,0,447.69,0,1.06,3.57,0,4.08,0,9.96,1.66,0,1.9
120,0,0,0,20,0,89.49,0,0,1.21,0,0,0,0,0,0,2.57,0,0,6.93,830.06,0,0,0,0,0,0,43.9,0,0,11.09
