stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,21.43,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,0,1.43,0,0,0,0
 24-34,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,1.64,37.51,10.9,0,0,0,8.94,1.08,0,3.58,0,6.13,0,0
 36-46,0,3.44,0,0,0,0,0,0,0,0,0,0,9.13,0,0,0,1.45,1.3,0,0.84,30.43,0,0,0,0,1.61,6.8,0,5.91,0,1.27,0,0
 48-58,0,12.77,0,0,21.18,0,1.26,0,4.6,0,0,1.38,3.71,0,0,0,0,14.49,0,0,48.12,0,0,0.7,0,1.56,1.07,0,6.83,0,1.27,0,0
 60-70,6.75,0.67,0,0,12,0,0,0,1.92,0.62,0,0,0.6,0,3.85,0,0,2.06,0,0,49.19,0,2.1,0,0,8.06,0,1.41,1.31,0,0,0,0.94
 72-82,0,4.47,0,0,8.41,0,0,0.77,0,0,0,0,0,7.42,2.88,0,0,2.53,0,0.83,54.94,0,0,0,0,6.46,0,0,8.57,0,6.09,0,0
 84-94,0,0.66,4.4,0,27.71,0,1.21,0,7.26,0,0,0,0,0,0,0,0,9.83,0,0,14.67,0,0,0,0,8.59,0,0,0,0.61,0,0,0
 96-106,0,1.27,2.57,0,0,0.62,0,0,5.45,0,0,0,0,0,0,0,0,2.38,0,0,24.2,0,0,0,0,0,0,0,0,0,3.33,0,7.75
108-118,0,2.64,0,1.35,6.98,0,2.3,0,1.62,1.97,0,0,0.89,0,0,0.5,0,7.7,3.27,0,26.17,0,0,0.44,0,4,0,0,0,0,11.22,0,0
120,0,1.34,0,0,7.3,0,0,5.31,22.78,0,0,0,1.76,0,0,0,0,10.5,0,0,58.99,0,3.22,0,4.48,11.43,0,0,0,0,0,3.69,0
