stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,pgc,pronephros,somites,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0
 14-21,0,1.69,0,0,0,1.98,0,0,0,0,0,0.84,0.99,0,0,0,0,0.8,9.22,0,0
 24-34,0,0,0,0,0,3.71,0,0,0,0,0,10.59,0,0,0,0,0,0,3.59,0,0
 36-46,0,0,12.92,0,0,3.61,0,0,0,0,0,66.92,0,0,0,0,0,0,5.82,0,0
 48-58,0.4,0,93.72,0,0.56,2.91,0.39,0,0,0.38,0,155.7,0,0,0,0,0,0,12.83,0,4.45
 60-70,0,0,344.28,0,0,0,0,0,0,0,0.68,220.43,0,0,0.65,0,1.12,0,23.87,0,0
 72-82,1.61,0,103.37,0,0,1.51,1.48,0,0,0,0,216.36,0,0,0.59,1.65,0,0,19.28,0,0
 84-94,2.71,0,120.87,0,1.21,18.67,0,0.63,0,0,0,137.08,0,1.26,6.07,0,0,0,3.48,0,0
 96-106,4.26,0,55.86,0.69,0,1.89,0,0,1.01,0.97,0,93.99,0,0,2.7,0,0,0,5.77,2.04,0
108-118,0,0,64.31,0,0.71,0.55,0,0,0,0,0,80.87,0,0,4.13,0,0,0,3.99,0,0
120,0,0,107.89,0,0,11.95,0,0,0,0,0,164.97,0,0,3.63,0,0,0,7.61,0,0
