stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,23.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.85,0,0,0,3.39,0,0,0,0,0,0,0,0
 10-12,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.05,0,0,0,44.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,115.7,0.98,2.34,0,0,1,0,0,1.24,3.63,0,0,0,0,0,0,0,0,78.83,0,4.38,0,0,0,0,7.76,0,0,0.82,0,0
 24-34,0,0,0.59,36.05,0,5.21,0,0,0,0.67,2.95,6.89,3.58,0,5.81,0,0,9.83,0.69,0,1.9,107.07,0,0.74,0.63,0,0,6.87,5.87,0,0,0.7,0,0.79
 36-46,0,0,0,25.69,2.27,2.46,1.09,3.47,1.28,0,0.99,1.48,0.58,0,3.91,0,0,11.78,2.08,0,0.95,62.47,0.56,1.15,0,0,0,34.45,6.44,0,0,5.63,0,0
 48-58,0,0,0.43,8.43,0.41,6.66,0,0.94,0,0,0,1.94,1.2,0,2.91,0,0,5.73,0.37,0,0,88.29,0,0.38,1.95,0,0.97,21.55,3.83,0,0,0.88,0,0
 60-70,0.81,0,0,10.25,2.46,12.8,6.58,3.44,0.77,0,0,17.13,0.59,11.07,1.82,0,0,6.84,0,1.79,0,51.21,0,1.19,0,0,0,24.14,6.58,0.84,0,1.43,0,0
 72-82,0,0,0,26.51,9.21,2.33,0,1.76,0.64,0,0,11.72,0.52,5.59,2.05,6.45,7.34,8.78,6.15,1.11,0,72.94,0,1.87,1.43,0,0,11.12,0.84,6.36,0,0,0,9.7
 84-94,0,0,0,32.89,4.54,8.96,0,0,2.93,0,0.8,7.6,2.9,4,3.82,0.57,0,17.8,1.03,0.89,0,43.39,0,0,0,0,0,25.27,4.43,6.41,0.69,4.21,0,0
 96-106,0,0,0,56.52,3.69,7.88,8.33,0,2.98,0,0,6.97,4.02,4.1,3.28,0,0,11.32,2.86,2.64,0,34,0,0,2.98,0,0,33.56,0.97,9.06,0.67,1.66,0,0
108-118,0,0,0,51.39,0.88,14.87,0,7.11,0.43,0,0,14.32,6.6,5.59,0,0.5,0,12.2,10.48,0.98,0,36.17,0,1.48,0,0,0,21.55,1.8,10.59,0,0.58,1.46,0
120,0,0,0,37.68,0,2.17,0,0,0,0,0,18.5,2.42,0,0,0,0,0,0,1.26,0,52.9,0,0,0,0,0,21.27,0,1.1,0,0,0,0
