stage,epidermis,erythrocytes,eye,fin_epithelia,immune,liver,melanocytes,mesenchyme,mucous,neural,notochord,periderm,somites,spinal_cord
 14-21,3.75,0,0,0,0,0,0,1.12,0,1.34,0,0,0.85,1.83
 24-34,1.31,0,0.7,0,0,0,0,0,0,1.4,0,0,0,0
 36-46,0,0,1.22,0,0,0,0,0,0,0,0,0.7,0,0
 48-58,0,1.31,1.74,0,0,0,0,0,0,2.7,5.2,0,0,0
 60-70,0,0,1.17,0,0,0,0,0,0,0,0,2.9,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0
 96-106,0.71,0,0,0,0,0,0,1.38,0,0,0,1.19,0,0
108-118,0,0,0,2.57,1.42,0.42,0,0,1.27,0,0,0,0,0.96
120,0,0,0,0,0,0,1.33,0,0,0,0,1.07,0,0
