stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,1194.99,25191.99,0,0,0,0,0,0,0,0,0,0,0,0,0,929.51,0,0,0,0,0
  5-6,1905.96,37508.78,0,0,0,0,0,110.92,0,0,0,0,487.53,81.49,68.46,740.41,0,0,0,0,0
  7-9,187.98,438.19,261.14,0,11.97,830.29,0,91.2,0,0,0,0,15001.05,176.86,2372,29.94,65.96,0,0,0,0
 10-12,0,38.96,222.21,0,88.09,90.06,0,0,0,0,0,0,1149.06,93.38,136.99,0,35.51,4.43,127.83,0,0
 14-21,0,0,3.13,19.4,7.04,0.99,0,0,12.45,0,139.58,32.26,50.03,56.94,1.03,0,0,1.68,0,2.46,4.28
 24-34,0.88,0,0,1.94,0,0,0,0,2.79,1.33,9.39,6.26,3.64,0.75,0,0,0,0,0,0,1.51
 36-46,0,0,0,1.32,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,2.04
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0
