stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,6.46,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.45,0,0,0.72,0,0,0,0,0,3.01,0,0
 36-46,0,0,0,0,0,0,0,3.7,0,0,0,0,1.48,0,0,0,3.45,0,0
 48-58,0,0,0,0,0,0,0.71,16.29,0,0,0,0,5.72,0,0,0,0.99,0,0
 60-70,0,0,0,0,0,0,8.4,32.52,0,0,0,0,3.55,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.51,1.94,26.12,0,0,0,0,5.09,0,0,0,0,0,1.45
 84-94,0,0,0.65,0,0,0,1.87,24.94,0,0,1.19,0,0,0,0,0,0,0.9,0
 96-106,0,0,5.69,6.6,0,0,0,54.39,1.23,9.06,1.71,2.59,0.99,2.03,0,2.15,0,0,1.22
108-118,0,0,1.73,4.38,0,3.57,0,45.68,0,0,4.76,0,0,0,0,0,0,0.66,0
120,0,0,2.57,0,1.71,3.31,0,105.73,0,0,16.81,0,2.43,0,0,0,0,0,0
