stage,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,20.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,16.64,0,0
 10-12,0,0,0,0,0,0,11.53,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,8.54,0.73,0,0,2.21
 36-46,0,0,0,0,0,0,3.32,0,0,0,0
 48-58,0,0,0.89,0,0,0.72,9.15,0,0,0,0
 60-70,0,0,6.43,0,0,1.6,3.8,0,0,0,0
 72-82,0,1.36,8.89,0,0,1.6,5.72,0,0,0,0.6
 84-94,0,0,0.9,0.91,8.26,0,3.85,0,0,0,0.98
 96-106,0,0,0.97,0,2.68,0,3.34,0,0,0,0
108-118,0,0,3.52,0,0,0,0.48,0,0,0,0
120,0,0,0,0,0,0,2.3,0,0,1.77,0
