stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,14.11,738.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0
  5-6,53.22,1230.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,6.56,25.89,0,0,0,0,0,0
  7-9,4.72,0,21.03,0,0,16.15,0,0,0,0,0,9.51,0,0,0,0,0,0,0,307.22,18.79,0,0,74,0,6.94,0,0,0,0,0
 10-12,0,16.98,7.11,0,0,47.68,0,0,0,0,0,0,0,0,0,0,0,0,0,155.23,0,0,0,51.82,0,0,0,0,0,0,0
 14-21,0,0,1.79,3.5,0.89,2.68,0,0,0,1.92,0.92,0,0,0,0,0,2.49,0,7.08,41.31,1.92,0,0.93,0.82,1.66,0,9.21,2.24,12.57,0,0
 24-34,0,0,0,2.02,0,5.82,0,0,0,0.59,0,0,0.71,11.41,0,0,6.78,0,2.18,99.96,0.59,0,0.62,0,1.81,0,0,0,17.38,2.14,0
 36-46,0,0,0,0.87,0,8.77,0,4.74,0,1.32,0,0,0,0,0,0,5.72,0.89,0.66,59.52,0,0,1.05,0,0,0,0,0,10.89,1.01,0
 48-58,0,0,0.44,0.38,0,27.48,3.88,0,0.4,7.97,0,0,0,0,0,0.6,7.98,1.08,1.65,64.71,0.5,0,0,0,0.42,0,0,0,12.54,0,0
 60-70,0,0,0,0,0,33.89,0,0,0,10.06,0,0,0.65,0.61,0,0,10.04,0,0,22.48,0,0,0,0,0,0,0,0,11.85,0,3.58
 72-82,0,0,0,0,0,17.4,0,0,0,15.27,0,0,0,0,0,0,9.22,0.7,0.8,44.77,0,0,0,0,0,0,0,0,4.58,0,0
 84-94,0,0,0,0,0,15.28,0,0,0,8.67,0,0,0,0,0.59,0,7.78,0,0,22.5,0,0,1.26,0,2.75,0,0,0,1.72,3.92,0
 96-106,0,0,0,0.63,0,19.88,0,0.82,0,13.33,0,0,0,0,1.47,0,7.6,0,1.63,25.45,0,0.59,0,0,4.79,0,0,0,1.63,1.1,0
108-118,0,0,0,1.46,0,10,0,0.45,0,6.62,0,0,0,0,0,0,7.37,0.69,2.07,47.93,0,0,0,0,0,0,0,0,2.49,0,0
120,0,0,0,12.65,0,29.74,0,0,0,13.22,6.21,0,1.88,0,0,0,6.38,6.62,0,65.06,0,0,0,0,0,0,0,0,0,5.94,0
