stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
 14-21,0,0,0,0,0,0,0.83,0,1.15,0,0,0,1.01,0,11.25,0,0,0,0,1.39,0
 24-34,0,0,0,2.19,0,0,0,0,2.45,0,0,0,2.28,0,13.88,0,0,0,1,5.31,0
 36-46,0,2.63,0,2.96,1.15,0,0,0,2.14,0,0,0,0.58,0,17.83,0,0,0,0.64,3.18,0
 48-58,0,0,0.69,1.87,0,0,0.46,0,1.68,0,0,0,0.41,0.42,14.09,0,0,0,8.39,2.04,0
 60-70,0,1.15,0,4.68,0,0,0.59,0,26.09,0.92,0,0,2.06,0,23.71,0,0,0,0,6.42,0
 72-82,0,0.57,0,21.17,0,0,2.42,0.58,26.07,0,0.6,0,1.08,0,21.4,1.29,0,0,0,0,0
 84-94,0,0.76,0.85,5.49,0,0,0,0,24.73,0,0,0,0.77,0.7,19.5,0,0,0,0.67,0,2.12
 96-106,0.72,1.24,0,0,0,0,0.7,2.62,12.49,0,0,0,2.16,0,5.36,0,1.34,0,4.29,0,3.52
108-118,1.22,0.7,0,14.17,0,1.36,2.31,2.58,11.96,0,0.47,0,0.9,0,13.2,0,0,0,1.37,0,0
120,1.66,2.66,1.22,2.99,0,0,0,1.04,51.82,0,0,3.42,8.98,0,14.26,0,0,0,0,0,13.77
