stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,mesenchyme,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,12.48,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.1,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.7,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.65,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.36,0.97,0
 24-34,0,0,0,0,0,2.24,0,0.71,0,0,0,0,0
 36-46,0,0,0,0,1.09,0,0,1.35,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.6,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.58,0,0,0,0,0,1.71
 84-94,0,0,0,0,0,0,0,0,0,0.58,0,0,0
 96-106,0,0,0,0.96,0,0,0,0,0,0,0,0,0
108-118,0,0,1.26,0,0,0,0,0,0,0,0,0,0
120,0,1.85,0,0,0,0,0,0,0,0,0,0,0
