stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,356.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.24,484.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,5,12.62,0,22.99,0,0,0,0,0,5.49,0,0,0,0,0,194.78,4.5,0,0,102.95,0,0,4.57,0,0,0,0,0,0
 10-12,0,20.79,25.25,0,3.34,0,0,0,0,0,4.76,0,0,0,0,0,168.17,3.39,0,0,55.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.92,3.01,0,0,0,0,0.86,0,1.62,0,0,1.21,0,0.84,28.22,0,0,0,0.84,0,0,0,2.41,2.03,5.36,0,0,0
 24-34,0,0,0,0,0,0,0,0,3,0,0,0,0,5.32,0,0.65,34.49,0,0,0,0,0,0,0,0,0,8.31,0,6.57,0
 36-46,0,0,0,0.85,5.16,0,0,1.45,0,0,0,0,0,4.72,0,0.58,23.63,0,0,0,0,0,0,0,0,0,3.11,0,0,5.09
 48-58,0,0,0,6.09,8.17,0,4.01,0,0,0,0,0,0,12.47,0,0,12.97,0,0,0,0,0,0,0,0,0,1.7,0,0,0
 60-70,0,0,0,4.75,1.86,0,0,0,3.74,0,0,2.41,0.73,3.75,0,0,6.99,0,0,0,0,0,5.78,0,0,0,8.88,0,0,0
 72-82,0,0,0,0.51,3.19,0,0,0,5.27,0,0,0,0.88,2.86,0.85,0,9.55,0,1.63,0,0,0,0,0,0,0,5.32,0.9,0,0
 84-94,0,0,0,0,9.87,0,0,0,3.62,0,0,0,0,6.21,0,0,6.05,0,1.13,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.89,0,0,0,0,0.93,0,0,0,1.45,0,0,2.34,0,0,0,0,0,0,0,0,0,0.58,0,0,0
108-118,0,0,0,2.12,1.49,0.43,0,0,3,0.47,0,0,0,8.16,0,1.05,8.57,0.49,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.08,0,0,0,0,25.3,0,0,0,0,2.88,0,0,12.31,0,0,2.11,0,13.12,0,0,0,0,0,0,0,0
