stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pronephros,spinal_cord,taste,vasculature
  3-4,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.81,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0
 14-21,0,0,1.2,0,0.81,0,0,0,0,0,24.1,0.89,1.94,0,2.09,24.41,0,0
 24-34,0,0.61,0,1.54,6.93,0,0,1.81,0,0.95,34.19,0,0,0,0,28.56,0,0
 36-46,0,0,0,4.07,8.44,0,0,1.27,0,0,33.11,0,2.17,1.31,0,9,0,0
 48-58,0,0.71,0,3.08,16.19,0,0,1.16,0,1.21,22.39,0,0.78,0.7,0,9.73,0,0.77
 60-70,0,0,0,3.48,13.19,0,0,12.44,0,0,19.72,0,1.19,0,0,14.04,0,0
 72-82,0,0,0,4.45,13.73,0,0,0.62,0,0,13.18,0,2.49,0,0,9.5,0,0
 84-94,0,0,0,10.98,18.36,0,0,6.43,0,0,8.44,0,0,0,0,8.02,0,0
 96-106,0,0,0,1.44,6.33,0.89,0,1.5,0.79,0,10.87,0,0,0,0,1.82,0,0
108-118,0,3.36,0,4.53,8.9,0,2.02,2.06,0,0.85,6.39,0,0.89,0.72,0,3.84,0.42,0
120,0,0,0,8.15,13.51,0,0,0,0,0,15.71,0,0,0,0,1.34,0,0
