stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,4.22,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,8.96,0,0,0,0
 14-21,0,0,0,0,0,4.12,0,0,0,0,1.89,8.81,2.36,1.51,0,0,0,0,18.43,0
 24-34,0,0,1.12,0.83,0,10.26,0,0,0,2.33,0.81,60.45,0,5.62,0.95,0,1.29,0,31.47,0
 36-46,0,0,0,1.72,0,3.46,0,0,0,0.65,0,83.34,0,1.81,0,0,0,0.62,21.66,0
 48-58,0,0,5.86,12.27,0,8.73,0,0,0,8.55,0.38,43.94,0,4.39,0,0,0,0,18.76,0
 60-70,0,0,0,3.87,0,1.71,0,0,0,4.79,0,53.69,0,0.73,0,0,0,0,12.67,2.89
 72-82,0,0,0,4.97,0,3.39,0,0,0,7,0,21.49,0.89,1.58,0,0,0,0,19.66,0
 84-94,0,0,0.78,3.33,0,0.84,2.65,0,0.6,2.52,0,26.25,0,1.68,0,0,0,0,3.77,0
 96-106,0,0,0,0,1.07,0,0,0,0,4.33,1.18,2.73,0,3.28,0,0,0,0,9.99,0
108-118,0,4.14,0.64,1.82,0,0,0.43,0.44,0,1.2,0.41,13.31,0,2.68,0.94,0,0.79,0.43,0,0
120,0,0,6.91,0,0,7.32,0,0,0,0,0,38.33,0,28.8,0,0,0,1.13,0,0
