stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,30.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,39.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0,4.25,0,0,0,4.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,3.41,53.72,65.73,0,0,0,0,0,1.01,5.95,10.38,0,0,0,0,0,0,12.62,0,0,19.81,42.74,0,0,1.24,0,0,0,3.02,0.94,11.31,161.55,65.16,0,0,180.39,0,0
 24-34,0,0,0,0,2.3,2.88,0,2.37,0,0,0.61,0,0.85,67.21,4.44,0.6,0,0,0,0,92.53,0,0,23.96,243.6,0,5.57,0,0,11.68,0,0,0,8.45,76.71,191.93,0,0,829.21,0,0
 36-46,0,0,0,0,0,0.61,0,5.63,6.79,0,1.43,0,0,31.22,1.46,1.02,1.21,2.39,0,3.85,247,0,1.72,55.09,207.98,1.83,1.46,0,0,2.61,0,0,0,22.73,3.72,124.77,0,0,551.86,0.78,0
 48-58,0,0,0,0,1.61,0,0,21.4,19.25,0,7.21,18.37,4.28,48.1,0.78,4.94,0,3.28,2.05,0.56,432.15,0,2.68,56.44,407.69,0.87,1.51,0,0,0.81,0,0,0,6.96,0,142.1,0,3.45,398.92,1.13,0
 60-70,0,0,0,0,0.69,12.73,2.22,90.78,18.88,0,5.64,24.3,2.63,24.67,2.86,0,0,6.21,0,0,573.56,0,15.26,49.38,536.05,0.6,1.34,0,19.62,3.9,0,0,7.03,5.16,0,286.87,0,1.64,234.46,2.02,0
 72-82,0,0,0,0,5.08,0.59,3.03,213.85,21.05,0,11.26,60.9,3.66,39.08,0.53,0,0,10.09,0,0,637.1,0,3.84,29.79,866,0.49,7.65,0,23.45,8.4,0,0,1.15,4.24,0,167.21,0,4.07,342.62,9.28,0
 84-94,0,0,0,0,7.9,0.66,7.29,189.02,16.8,0,6.15,70.06,2.1,15.58,4.69,0,1.03,1.93,0,1.36,458.28,0,12.89,40,546.3,2.7,6,0,66.45,9.02,0,0,0,5.24,0,114.51,0,5.09,372.59,5.75,0
 96-106,0,0,0.63,0,12.23,20.05,4.91,196.58,30.91,1.26,5.39,53.82,9.71,32.38,5.24,0,0,13.12,14.02,0,499.66,5.85,13.2,33.11,527,3.31,9.96,1.2,68.75,3.33,3.39,0,0.58,4.07,0,65.1,0,7.5,463.44,3.19,8.62
108-118,0.56,0,1.21,0,14.11,0,37.88,160.98,26.32,2.91,9.94,54.24,8.82,22.9,5.19,1.5,1.9,13.77,0.6,0,513.35,0.6,12.71,58.04,619.8,0.6,9.47,0,84.04,3.2,0,0,0,9.57,0,69.57,0.8,8.51,398.74,10.82,0
120,0,0,3.64,0,28.37,0,16.34,186.55,40.43,2.29,9.36,22.77,11.33,14.47,15.41,0,0,6.56,23.74,0,397.37,0,40.2,25.43,788.88,4.35,21.34,0,0,5.92,0,1.12,2.87,1.32,0,78.47,1.19,0,322.67,0,0
