stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.91,4.5,0,0,10.5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.14,0,0,0,0,0,3.33,0,0,0,0,0,0,0,19.73,0,0,0,11.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.15,4.68,1.06,3.54,0,0,0,0,0.84,0,0,0,0,0,0,0,0.88,30.64,0,0,0,0,0,0,1.09,2.78,7.55,1.79,0,0,0
 24-34,0,0,0,1.21,0,3.52,0,0.72,0,0,0,0,0,0,0,0,2.07,0,0,116.72,0,0,0,0,0,0,0,0.87,0.64,10.89,0,0,0
 36-46,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,11.22,0,0.71,148.25,0,0,0,0,0,0,0,0,0,26.3,0,0,0
 48-58,0,0,0,1.37,0,11.08,0,0,0.44,18.7,0,0,0.39,0,0,5.12,24.57,0,0,247.01,4.7,0,7.88,0,0.47,0,0,0,0,22.68,0,0,0
 60-70,0,0,0,0.99,0,20.48,0,0,0,11.86,0,0,0,0,0.88,0,27.3,0,3.63,300.66,0,0,0,0,0,0,0,0,0,18.25,0,1.82,0
 72-82,0,0,0,0.76,0,69.3,1.33,1.84,1.41,10.73,0,0,0,0,0.66,2.16,27,0,0,397.03,0,0,1.21,0,0,0,0,0,0,13.76,0,0,0
 84-94,0,0,0,0,0,32.54,1.27,0,0,11.79,0,0,3.63,0.67,0.66,0,43.95,0.65,4.74,244.09,0,0,2.03,0,0,0,0,0,0,9.66,1.26,0,1.65
 96-106,0,0,0,2.49,0.81,67.46,0,2.35,0,21.15,0,0,0,0,0,0,18.54,0,2.4,238.45,0,0,1.38,0,1.67,1.15,0,0,0,15.52,1.55,0,0
108-118,0,1.03,0,4.67,0,28.31,0,0,3.05,4.26,0.71,0,0.51,0,2.9,0,10.15,0,0,280.15,3.15,1.5,3,0,0,0,0,0,0,4.5,1.17,0,0.65
120,0,0,0,0,0,47.73,0,0,0,7.46,0,0,0,0,0,1.61,24.07,0,0,285.57,0,0,0,0,0,18.73,0,0,0,18.13,0,0,0
