stage,epidermis,eye,glial,neural,periderm,taste
 24-34,0,1.84,0,0,0,0
 36-46,0,3.02,0,2.04,0,0
 48-58,0,1.43,0,4.11,0.75,0
 60-70,0,3.42,0,0.58,0,0
 72-82,0,0,2.83,0,0,0
 84-94,0,6.38,3.26,2.26,0,0
 96-106,0.89,0,0,0,0,2.04
108-118,1.55,0,0,1.37,0,0
