stage,eye,fast_muscle,ionocyte,muscle,neural,paraxial_mesoderm,slow_muscle
 48-58,0,0,0,0,0,0,2.02
 60-70,0,5.76,0,8.75,0,0,0
 72-82,0,0,0,0,1.17,1.13,0
 84-94,5.82,1.38,0.69,0,0,0,0
 96-106,0,1.05,0,0,0,0,0
108-118,0,1.51,0,0,0,0,0.43
120,0,1.63,0,0,0,0,0
