stage,blastomeres,eye,glial,mesenchyme,neural,somites
  5-6,8.13,0,0,0,0,0
  7-9,3.89,0,0,0,0,0
 14-21,0,0,0,0,0,2.09
 36-46,0,1.11,0,0,0.65,0
 48-58,0,0,0,0,1.85,0
 60-70,0,0,0,0,2.42,0
 84-94,0,0.68,0,0.99,0,0
 96-106,0,0,1.72,0,0,0
120,0,0,1.61,0,0,0
